,Measure,WoodyNYou,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Gmin7(b5),G,0.0,181.9234619140625,315.2418212890625,1057.8709716796875,291.80902099609375,657.7247314453125,3114.780517578125,1066.6728515625,1646.75732421875,396.6927490234375,731.0116577148438,1931.2586669921875,366.8832702636719
1,2,C7(#9),C,2.0,2221.8330078125,510.4969787597656,479.7353515625,1596.1552734375,3974.9130859375,814.7968139648438,338.1956481933594,1727.6126708984375,461.2329406738281,354.1190185546875,1721.8214111328125,851.0520629882812
2,3,Fmin7(b5),F,4.0,2137.904052734375,506.0976257324219,639.5404663085938,2659.832275390625,1191.99267578125,1276.166259765625,294.2167053222656,703.4517211914062,1622.9327392578125,361.4784240722656,176.2657012939453,466.1953125
3,4,Bb7(#9),Bb,6.0,676.6393432617188,3225.521484375,2560.526611328125,686.2316284179688,846.7453002929688,3269.103515625,790.1019897460938,355.1590576171875,1643.5118408203125,1210.9007568359375,4022.455078125,743.821044921875
4,5,Ebmin7(b5),Eb,8.0,337.4490051269531,1921.9736328125,968.7299194335938,3130.946533203125,569.975830078125,800.3434448242188,3557.176513671875,636.3736572265625,185.96826171875,343.2420349121094,1948.0626220703125,331.7693176269531
5,6,Ab7,Ab,10.0,1910.5322265625,541.9027099609375,654.2761840820312,2613.990478515625,770.1228637695312,765.9208374023438,3863.451904296875,1433.8946533203125,3247.617919921875,598.1273803710938,261.1857604980469,849.71630859375
6,7,Dbmaj7,Db,12.0,732.7451171875,633.608154296875,136.25848388671875,108.88813018798828,265.7868957519531,1088.955078125,215.62945556640625,145.8964385986328,508.322509765625,118.87850952148438,59.760555267333984,121.783203125
7,7,Ab7,Ab,13.0,477.835693359375,198.39027404785156,192.19895935058594,735.7539672851562,278.6415710449219,492.4308776855469,1074.2484130859375,401.4511413574219,579.9265747070312,128.47840881347656,70.87196350097656,130.9068145751953
8,8,Db6,Db,14.0,1179.8856201171875,2679.378173828125,706.1719360351562,1033.211669921875,902.79736328125,3898.495849609375,1025.6279296875,358.9962158203125,1483.9232177734375,913.659423828125,4238.7978515625,763.5810546875
9,9,Abmin7,Ab,16.0,116.79161834716797,85.64134979248047,207.78013610839844,818.060546875,163.6063232421875,298.206298828125,1081.6500244140625,329.6336364746094,486.9850158691406,319.58099365234375,1508.0845947265625,693.4640502929688
10,9,Db7,Db,17.0,347.2077331542969,530.8060913085938,168.1247100830078,358.6189880371094,288.6490173339844,1131.8114013671875,379.6712951660156,134.81907653808594,416.5868835449219,128.23048400878906,185.4134063720703,940.85400390625
11,10,Abmin7,Ab,18.0,112.47071075439453,149.75514221191406,206.5674285888672,828.7522583007812,201.03269958496094,522.6904296875,1170.75,363.8028259277344,559.9217529296875,330.8379821777344,1377.5533447265625,563.6829833984375
12,10,Db7,Db,19.0,351.6085510253906,529.5706176757812,165.5528106689453,358.0630187988281,277.2501525878906,1093.1822509765625,372.5990905761719,135.6942901611328,423.9063415527344,127.0718765258789,180.75885009765625,949.6044921875
13,11,Abmin7,Ab,20.0,114.07949829101562,153.21054077148438,208.99354553222656,829.890380859375,201.6222686767578,523.9067993164062,1181.6009521484375,367.56396484375,564.0082397460938,323.1475524902344,1301.2506103515625,553.6483764648438
14,11,Db7,Db,21.0,309.380126953125,495.9667663574219,660.49658203125,343.028076171875,208.3500213623047,767.0405883789062,248.0577850341797,66.3578109741211,184.96922302246094,168.0884552001953,163.62217712402344,731.3849487304688
15,12,Gbmaj7,Gb,22.0,583.5932006835938,2077.76025390625,593.4443359375,261.90673828125,748.7122192382812,3829.9150390625,2082.425537109375,332.3588562011719,340.81256103515625,1093.545166015625,5793.28662109375,1049.4267578125
16,13,Bbmin7,Bb,24.0,337.58160400390625,501.3423767089844,144.66091918945312,108.7990951538086,228.89991760253906,898.7275390625,208.78338623046875,175.4268798828125,460.0144958496094,232.49334716796875,574.7280883789062,164.154052734375
17,13,Eb7,Eb,25.0,130.4409942626953,569.794921875,411.0165710449219,973.713134765625,241.60411071777344,277.9573669433594,229.54193115234375,1227.3355712890625,262.6971130371094,143.8239288330078,637.460205078125,163.73707580566406
18,14,Bbmin7,Bb,26.0,366.7239685058594,606.96435546875,181.99853515625,331.4446105957031,268.4272155761719,907.1139526367188,202.42193603515625,238.00929260253906,470.7066650390625,299.0790710449219,896.8615112304688,203.0955352783203
19,14,Eb7,Eb,27.0,124.61514282226562,553.3636474609375,403.2089538574219,956.4712524414062,237.4088897705078,277.1040344238281,231.1025390625,1255.1651611328125,267.2392272949219,143.7504425048828,640.5880126953125,163.87818908691406
20,15,Bbmin7,Bb,28.0,366.8036804199219,609.1975708007812,182.32330322265625,336.7657165527344,269.1621398925781,906.486572265625,200.6696319580078,249.77305603027344,563.8466186523438,315.1532897949219,897.3385620117188,200.42323303222656
21,15,Eb7,Eb,29.0,138.64404296875,545.4450073242188,352.2422790527344,951.9528198242188,344.264404296875,290.1067810058594,160.3435516357422,476.0877685546875,178.9683380126953,131.0028839111328,589.0861206054688,195.38519287109375
22,16,Abmaj7,Ab,30.0,2868.270263671875,847.876708984375,799.108642578125,2820.0986328125,881.74072265625,273.0317077636719,381.663330078125,2206.247802734375,1824.72998046875,363.4673156738281,317.5612487792969,709.4209594726562
23,17,Gmin7(b5),G,32.0,251.28196716308594,350.3262939453125,1105.2320556640625,394.5766906738281,710.4756469726562,3144.5283203125,1063.5814208984375,1668.7567138671875,406.7264709472656,721.8174438476562,1932.9901123046875,380.1390686035156
24,18,C7(#9),C,34.0,2228.406982421875,524.8084106445312,502.3891906738281,1620.494140625,3971.418701171875,821.0950317382812,341.44384765625,1742.0621337890625,462.8388977050781,351.0867004394531,1711.5594482421875,849.354248046875
25,19,Fmin7(b5),F,36.0,2140.630126953125,505.0946044921875,637.2128295898438,2653.211669921875,1191.4246826171875,1276.4649658203125,293.7127990722656,704.858154296875,1633.8184814453125,363.1415100097656,176.4258575439453,465.792724609375
26,20,Bb7(#9),Bb,38.0,674.3392944335938,3206.9755859375,2557.530029296875,686.3956909179688,846.947509765625,3270.6201171875,790.3877563476562,355.2968444824219,1645.21337890625,1211.2330322265625,4022.341796875,743.8381958007812
27,21,Ebmin7(b5),Eb,40.0,339.9557800292969,1938.9154052734375,970.1863403320312,3131.088623046875,570.128662109375,800.490234375,3556.123779296875,636.1550903320312,185.70335388183594,343.1691589355469,1947.8115234375,331.8426513671875
28,22,Ab7(#9),Ab,42.0,2331.424072265625,584.2544555664062,703.8367309570312,2647.923095703125,782.6677856445312,831.38916015625,3920.553466796875,1451.3282470703125,3318.059326171875,670.3234252929688,606.7720336914062,3317.104248046875
29,23,Dbmaj7,Db,44.0,734.2338256835938,633.0646362304688,136.9567413330078,108.97220611572266,265.85394287109375,1089.361083984375,215.46728515625,145.6879425048828,507.566162109375,119.40680694580078,62.77701950073242,133.34112548828125
30,23,Ab7,Ab,45.0,560.7994995117188,208.70526123046875,114.34630584716797,507.2056884765625,189.5275421142578,336.5439147949219,719.7175903320312,189.208251953125,337.7289733886719,77.89464569091797,39.02695083618164,94.10123443603516
31,24,Dbmaj6,Db,46.0,1795.8614501953125,5671.98974609375,1637.60546875,1710.1390380859375,1895.9173583984375,9358.6240234375,2025.6982421875,739.6071166992188,3288.3271484375,2300.268798828125,11413.37890625,1894.8375244140625
