,Measure,Work Song C,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Fmi7,F,0.0,2042.44970703125,461.0293273925781,588.1270141601562,2556.646240234375,1250.6068115234375,1410.5390625,321.37567138671875,659.4636840820312,1642.6353759765625,381.3765563964844,181.17454528808594,472.7838439941406
1,2,Fmi7,F,2.0,2427.88330078125,525.3211059570312,579.819091796875,2496.883544921875,1244.0150146484375,1370.53076171875,311.63763427734375,687.0059204101562,1670.9866943359375,380.9179382324219,205.3651123046875,531.6929931640625
2,3,Fmi7,F,4.0,2057.995849609375,463.3605651855469,578.8851318359375,2506.2607421875,1240.101318359375,1419.3465576171875,319.4342956542969,651.5870971679688,1643.3509521484375,380.5865173339844,183.34507751464844,474.7566223144531
3,4,Fmi7,F,6.0,2066.343994140625,465.2007141113281,583.33349609375,2493.005126953125,1298.3961181640625,1804.6134033203125,376.3513488769531,664.0711059570312,1648.724609375,396.6346740722656,190.54791259765625,481.4521789550781
4,5,Fmi7,F,8.0,2058.900390625,463.5357971191406,577.907958984375,2494.913330078125,1239.3797607421875,1420.0135498046875,319.20361328125,650.5443725585938,1638.228515625,379.0196533203125,182.196533203125,474.7230224609375
5,6,Fmi7,F,10.0,2427.883544921875,525.3660278320312,579.9739379882812,2497.696044921875,1244.1622314453125,1370.53466796875,311.64111328125,686.9872436523438,1670.9549560546875,380.9109191894531,205.36839294433594,531.6836547851562
6,7,C7,C,12.0,1792.373046875,370.0594177246094,269.5755920410156,907.4647827148438,3894.30859375,716.1928100585938,294.1808776855469,1527.0533447265625,417.1895446777344,344.1380310058594,1694.3890380859375,770.5042114257812
7,8,C7,C,14.0,1775.2181396484375,386.4359436035156,307.9292907714844,902.8278198242188,3847.2763671875,682.757080078125,293.70281982421875,1546.7613525390625,414.34423828125,346.0517272949219,1729.4581298828125,771.0703125
8,9,Fmi7,F,16.0,2055.51513671875,474.4003601074219,596.0083618164062,2553.8046875,1281.2923583984375,1445.6136474609375,334.3748474121094,672.2762451171875,1640.2686767578125,378.5842590332031,172.18304443359375,466.8027648925781
9,10,Fmi7,F,18.0,2061.394775390625,473.8067321777344,581.6050415039062,2533.335205078125,1236.0042724609375,1364.8807373046875,328.6844787597656,810.181640625,2485.516845703125,531.3655395507812,235.25599670410156,477.1123352050781
10,11,Fmi7,F,20.0,2057.75390625,464.3981628417969,580.0534057617188,2488.816162109375,1238.6893310546875,1427.2601318359375,319.658447265625,651.9243774414062,1652.8812255859375,404.71337890625,366.7463684082031,504.374267578125
11,12,Fmi7,F,22.0,2066.261962890625,465.7006530761719,583.3563232421875,2493.192138671875,1299.060546875,1805.35986328125,375.9656677246094,663.0014038085938,1648.4705810546875,397.1658630371094,195.10304260253906,481.0383605957031
12,13,Fdominant(#9),F,24.0,2537.44384765625,572.0079956054688,774.5370483398438,3258.131591796875,1768.798828125,1508.9129638671875,637.48974609375,745.45263671875,1720.8021240234375,1831.943359375,556.9607543945312,1050.8533935546875
13,14,Bb7,Bb,26.0,91.56500244140625,151.79666137695312,626.0737915039062,184.73370361328125,244.8248291015625,913.0503540039062,260.73358154296875,102.37798309326172,473.6298828125,442.1360778808594,1651.9268798828125,311.98052978515625
14,14,Eb7,Eb,27.0,121.98860931396484,571.8091430664062,391.7920837402344,930.0942993164062,236.7938995361328,279.7916259765625,124.64974212646484,462.8019104003906,136.6899871826172,129.56146240234375,581.721435546875,141.67947387695312
15,15,G7,G,28.0,147.3085174560547,142.2931671142578,384.0051574707031,428.8865661621094,297.9830017089844,1148.550537109375,487.3142395019531,559.44482421875,128.63636779785156,104.491455078125,248.46307373046875,553.0508422851562
16,15,C7,C,29.0,578.7753295898438,162.72349548339844,177.2171630859375,342.4959716796875,1183.097900390625,499.4991760253906,224.7981414794922,539.9160766601562,292.5623779296875,309.47088623046875,1405.9976806640625,480.4204406738281
17,16,Fmi7,F,30.0,8209.259765625,1691.9600830078125,2409.15869140625,11382.86328125,7420.96826171875,8059.42919921875,1577.5264892578125,2763.444091796875,5861.17626953125,1408.90771484375,991.3524780273438,2118.7080078125
