,Measure,Yeah You Right,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,C7,C,0.0,559705.8125,99912.3125,41309.671875,103074.2109375,371311.96875,507704.75,136814.171875,383201.15625,85083.078125,80286.359375,402243.25,169383.046875
1,30,Db,Db,58.0,517.3779296875,1730.7545166015625,520.6607055664062,260.8357849121094,699.730712890625,3686.748291015625,1038.50634765625,2936.214599609375,1676.357421875,296.66259765625,111.7983169555664,126.20015716552734
2,31,Eb,Eb,60.0,164.9380340576172,546.6065673828125,2892.63671875,3451.523193359375,648.8203125,235.01771545410156,278.9877624511719,1480.2735595703125,321.2571716308594,389.0079650878906,1920.1192626953125,414.1141052246094
3,32,F,F,62.0,2238.567626953125,501.0971374511719,171.70692443847656,518.89697265625,784.6834106445312,3223.55859375,593.274658203125,291.80401611328125,290.6322326660156,1408.23974609375,335.0164794921875,395.7416076660156
4,33,F,F,64.0,1985.61669921875,427.9967956542969,116.52320098876953,175.3188018798828,690.78857421875,3477.478515625,591.0313720703125,156.99244689941406,245.4264373779297,1330.871826171875,240.3523406982422,313.6615295410156
5,34,Ab,Ab,66.0,1651.8194580078125,424.7720642089844,831.5485229492188,3157.281982421875,822.3078002929688,240.65924072265625,640.1411743164062,4118.51708984375,2193.87158203125,335.0956726074219,202.29994201660156,374.7666015625
6,35,Bb,Bb,68.0,1912.1595458984375,623.5947875976562,2020.57177734375,567.87646484375,706.2261352539062,2927.660400390625,768.4773559570312,758.4916381835938,252.9864044189453,743.2794799804688,1880.2279052734375,689.4111328125
7,36,C,C,70.0,4430.7099609375,792.0516967773438,293.1506042480469,769.5331420898438,3737.437744140625,810.923583984375,322.21807861328125,1515.2772216796875,385.2991027832031,242.7242431640625,915.2974243164062,943.0198364257812
8,37,C,C,72.0,2656.080810546875,516.739501953125,229.26307678222656,748.4474487304688,3706.18359375,685.8269653320312,314.18524169921875,1747.3358154296875,402.4896545410156,290.3351135253906,1183.0887451171875,793.1455078125
9,38,C,C,74.0,4478.23095703125,782.2759399414062,262.8692321777344,762.5032348632812,3669.936279296875,650.750244140625,292.0310974121094,1487.0174560546875,344.6777038574219,99.44698333740234,135.80029296875,893.4976196289062
10,39,C,C,76.0,1624.9456787109375,350.8175964355469,177.6696014404297,703.2431640625,3668.8447265625,1011.77294921875,339.6295471191406,1518.36669921875,356.2853698730469,199.3012237548828,518.8924560546875,568.0447387695312
11,40,C,C,78.0,26720.427734375,4665.25537109375,4580.81494140625,19665.826171875,6174.828125,1525.33544921875,2686.746826171875,16259.9560546875,2742.8564453125,576.4763793945312,1089.7159423828125,4841.92626953125
