,Measure,are you real,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Dmin7,D,0.0,953.028564453125,311.44354248046875,572.3068237304688,171.5950927734375,374.7396545410156,1068.126220703125,280.7231750488281,176.20640563964844,265.4271545410156,1471.29736328125,249.4020233154297,158.6831512451172
1,1,G7,G,1.0,550.7548828125,203.87750244140625,489.7331237792969,1132.089111328125,411.5610656738281,519.7297973632812,381.1351623535156,1711.9779052734375,375.1205749511719,238.4027099609375,649.7963256835938,475.0802001953125
2,2,Cmin7,C,2.0,448.8044738769531,120.13458251953125,277.3511657714844,664.5061645507812,151.11253356933594,390.6974792480469,182.104736328125,614.4630737304688,123.76189422607422,758.9589233398438,5132.61181640625,900.1489868164062
3,3,F7,F,4.0,467.135498046875,188.0697479248047,630.3450317382812,747.8589477539062,250.15367126464844,282.6660461425781,91.91130828857422,78.0711898803711,131.92376708984375,281.5718688964844,73.23260498046875,115.00940704345703
4,4,Bbmaj7,Bb,6.0,56.84762191772461,71.9644546508789,216.53741455078125,114.17704010009766,271.4020690917969,791.9135131835938,120.7570571899414,47.67851638793945,733.986083984375,5161.08203125,771.6325073242188,36.3432502746582
5,5,Ebmaj7,Eb,8.0,26.389068603515625,49.202362060546875,332.2673645019531,666.5769653320312,105.96405029296875,143.42713928222656,153.2222137451172,865.665771484375,137.69300842285156,308.6432189941406,1841.4769287109375,287.2184143066406
6,6,Amin7,A,10.0,872.64501953125,180.3816375732422,92.31658935546875,233.29136657714844,752.531494140625,184.49774169921875,121.6382827758789,754.7471313476562,873.896240234375,5280.11474609375,810.4483032226562,173.59844970703125
7,7,D7(#9),D,12.0,824.0960083007812,164.95263671875,76.21820068359375,254.21974182128906,336.37127685546875,824.9140014648438,450.0616149902344,745.5462036132812,3522.0966796875,611.6183471679688,75.42658233642578,149.43504333496094
8,8,Gmin7,G,14.0,89.57262420654297,75.37882995605469,295.1871032714844,297.10546875,186.6693115234375,767.921630859375,419.5021667480469,2461.5234375,5686.96484375,897.83251953125,137.00360107421875,61.71979904174805
9,9,C7,C,16.0,331.2424011230469,77.72885131835938,82.43264770507812,129.06761169433594,655.2736206054688,521.2833251953125,160.72940063476562,544.33056640625,126.60601043701172,99.47364044189453,139.13392639160156,98.44488525390625
10,10,F#min7,F#,18.0,156.39830017089844,203.57142639160156,222.10707092285156,1077.65673828125,365.9369812011719,310.92578125,1230.0299072265625,378.5267028808594,1180.8602294921875,622.9942626953125,253.9302978515625,540.2111206054688
11,10,B7,B,19.0,614.6510620117188,174.88914489746094,233.3473663330078,833.7483520507812,411.4865417480469,436.2524719238281,231.8564453125,252.3798828125,518.7437133789062,150.6499481201172,81.36038970947266,203.2053680419922
12,11,Fmin7,F,20.0,219.48509216308594,214.206298828125,667.3356323242188,538.2574462890625,320.11639404296875,1039.366455078125,292.7773132324219,155.3526153564453,485.1585388183594,303.9576416015625,607.6613159179688,165.15122985839844
