,Measure,betty1,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bbmin7,Bb,0.0,1593.8167724609375,5392.5263671875,1189.093017578125,721.6497192382812,2094.152099609375,10054.87109375,1850.59326171875,792.7978515625,4244.21923828125,2240.544677734375,6130.78271484375,1208.5828857421875
1,2,Bmin7,B,2.0,379.5494384765625,648.8607788085938,1893.4053955078125,742.7991333007812,267.6556701660156,823.290283203125,3660.592041015625,656.9546508789062,304.9709167480469,1356.683349609375,648.1222534179688,1667.6807861328125
2,2,E7,E,3.0,597.3421020507812,451.0732116699219,2439.467529296875,1208.8779296875,3018.16015625,682.9657592773438,580.0488891601562,327.2021179199219,1414.52783203125,389.6944274902344,525.4105224609375,2898.010498046875
3,3,Bbmin9,Bb,4.0,7458.94873046875,6622.666015625,1399.12353515625,970.2539672851562,4141.82958984375,10642.0205078125,2117.812255859375,1021.3513793945312,4214.43701171875,2172.934814453125,6386.701171875,2828.334228515625
4,4,Bmin,B,6.0,117.16588592529297,575.9932861328125,112.2913589477539,32.284000396728516,70.18941497802734,165.16006469726562,43.17411422729492,35.025054931640625,286.9175109863281,273.96234130859375,793.349609375,122.84098052978516
5,4,E7,E,7.0,137.83639526367188,153.4674835205078,610.7611083984375,154.05909729003906,56.12205123901367,287.97991943359375,1272.6439208984375,206.83050537109375,34.290767669677734,67.10945129394531,130.8260040283203,530.6552124023438
6,5,Amaj9,A,8.0,2141.97412109375,5817.78564453125,2818.5029296875,2934.056640625,9407.32421875,2660.670166015625,1307.8968505859375,1139.8896484375,5282.72705078125,5477.47900390625,1744.2498779296875,5279.4765625
7,6,Ab7,Ab,10.0,5688.42822265625,1669.0184326171875,2047.0439453125,8050.505859375,2546.779052734375,2436.21923828125,12003.0380859375,4393.77490234375,10175.1884765625,1899.4263916015625,656.6990356445312,1352.4769287109375
8,7,Gmaj7,G,12.0,1542.7054443359375,1513.6019287109375,5372.81884765625,2485.246826171875,961.0626831054688,2569.606689453125,14039.5673828125,6909.29638671875,1149.5911865234375,989.5918579101562,1524.9637451171875,6010.5859375
9,8,Gb7,Gb,14.0,506.6440124511719,1841.9290771484375,475.1274108886719,759.6594848632812,3229.152099609375,1800.22607421875,1894.8570556640625,409.2235412597656,421.4198303222656,673.5060424804688,1857.5579833984375,551.8258666992188
10,8,Gb7(#5),Gb,15.0,466.9898681640625,1748.43017578125,421.4898986816406,727.2598266601562,3193.7607421875,1631.28515625,1295.10302734375,341.4766845703125,427.9788818359375,649.0552368164062,1855.3975830078125,505.7251281738281
11,9,Gbmin7,Gb,16.0,1440.52734375,6154.734375,1373.93896484375,1900.5115966796875,8735.1201171875,3655.948974609375,5148.99072265625,1055.2156982421875,2227.935302734375,5095.5732421875,1160.9869384765625,556.8762817382812
12,10,Gmin7,G,18.0,194.8673553466797,341.6054382324219,1036.1942138671875,406.5026550292969,766.1004028320312,2730.185302734375,1262.472900390625,1520.2962646484375,921.0021362304688,4055.056396484375,2193.38671875,394.0035705566406
13,10,C7,C,19.0,1644.7762451171875,479.7732238769531,537.7772216796875,937.4598999023438,3509.593994140625,1260.123046875,387.2275390625,1454.2296142578125,409.4066162109375,442.3589782714844,1672.3392333984375,797.2492065429688
14,11,Gbmin7,Gb,20.0,2518.862548828125,6757.91357421875,1535.9560546875,1934.71484375,8867.2802734375,3998.571044921875,4926.7802734375,1434.1522216796875,2311.040771484375,5358.52001953125,1618.6817626953125,742.2783203125
15,12,Gmin7,G,22.0,225.41912841796875,390.8061218261719,1074.608154296875,431.471435546875,957.060302734375,2739.54296875,1329.6741943359375,1487.3782958984375,1128.2237548828125,5565.52587890625,2494.948974609375,411.2184143066406
16,12,C7,C,23.0,27.954740524291992,75.41743469238281,168.42506408691406,49.33305740356445,139.2667999267578,686.1464233398438,129.82765197753906,45.08993148803711,45.62651062011719,264.2376403808594,71.59610748291016,18.4089412689209
17,13,Fmaj7,F,24.0,7016.63720703125,1461.4171142578125,809.3003540039062,2296.00732421875,11096.45703125,6497.01171875,2150.616455078125,8006.158203125,2962.197021484375,5537.93701171875,2557.946533203125,1972.53271484375
18,14,A7,A,26.0,1453.3543701171875,5673.48828125,1479.7998046875,2014.0712890625,9158.3037109375,3159.007080078125,1212.207763671875,5583.609375,4116.80419921875,15034.2734375,7160.1796875,1598.1422119140625
19,15,Dmin7,D,28.0,7279.291015625,3834.6337890625,15097.69921875,2991.418701171875,3634.3154296875,11525.7373046875,2773.389404296875,811.9719848632812,1353.0888671875,6138.3671875,1156.976806640625,1335.17236328125
20,16,G7,G,30.0,586.1784057617188,421.3721618652344,1062.4859619140625,652.978271484375,1010.18505859375,3464.323974609375,1472.0045166015625,1509.4013671875,1040.26904296875,4892.78759765625,1142.6231689453125,1842.7244873046875
21,16,Cmin13,C,31.0,59.81843566894531,48.64945602416992,143.22035217285156,38.892581939697266,110.7912826538086,666.0936889648438,126.67386627197266,55.629032135009766,54.15182876586914,305.8195495605469,92.83783721923828,278.1654357910156
22,17,Cmin7,C,32.0,7047.42431640625,2191.869873046875,4472.1962890625,10954.7021484375,4239.48974609375,5446.61376953125,2308.746337890625,6474.77783203125,1507.7008056640625,3045.763671875,6761.31884765625,2871.1669921875
23,18,F7,F,34.0,6269.03271484375,1502.6961669921875,2532.635986328125,12462.828125,5470.70703125,5189.6787109375,1265.1373291015625,1562.8377685546875,1683.0435791015625,5371.35546875,1534.7939453125,1441.5452880859375
24,19,Amin7,A,36.0,2811.195068359375,673.2730102539062,286.2188415527344,816.675048828125,2876.921875,602.7301025390625,351.0559387207031,1885.638671875,872.4583129882812,1730.6771240234375,467.5273132324219,773.4497680664062
25,19,D7,D,37.0,2231.419677734375,968.2666625976562,1926.68994140625,473.5768737792969,675.9310302734375,988.977783203125,3615.133056640625,848.9043579101562,315.7430114746094,1377.6710205078125,306.3758850097656,413.90673828125
26,20,Gmin7,G,38.0,1175.7642822265625,1366.52001953125,5415.48681640625,1498.5157470703125,2350.957763671875,10108.1865234375,4994.59033203125,6445.95556640625,2290.872802734375,8452.6416015625,16185.890625,2776.718017578125
27,21,Emin7,E,40.0,373.7162780761719,478.0777587890625,2551.184814453125,1086.3465576171875,3233.8212890625,927.8152465820312,431.7486267089844,1363.0372314453125,370.010498046875,815.1807250976562,4558.205078125,2239.556640625
28,21,A7,A,41.0,500.5545349121094,1735.7994384765625,586.9196166992188,651.6532592773438,2450.693359375,840.0410766601562,435.1082763671875,1843.6895751953125,1011.4298706054688,1592.1842041015625,454.4127502441406,374.3290710449219
29,22,A7,A,42.0,1355.8277587890625,5409.91943359375,1653.0867919921875,2014.92919921875,8728.26953125,2505.4130859375,1393.7889404296875,6720.693359375,3135.553466796875,5032.73095703125,1029.47021484375,1062.1904296875
30,23,Fmin7,F,44.0,6751.81689453125,1704.17724609375,2044.546875,8559.376953125,3949.584716796875,4565.37548828125,1056.7628173828125,3260.583984375,13734.1953125,3926.599609375,1005.23828125,1509.5531005859375
31,24,Bb7,Bb,46.0,397.1759338378906,459.2400207519531,1883.17919921875,662.5550537109375,888.0643920898438,3312.635986328125,849.27490234375,473.3250427246094,1844.9510498046875,988.8844604492188,1854.71533203125,444.1175231933594
32,24,Amin7,A,47.0,32.994380950927734,45.65249252319336,175.9483642578125,101.42533111572266,123.78549194335938,636.2892456054688,101.69158172607422,18.23749351501465,83.96538543701172,33.10780334472656,29.778181076049805,11.73037338256836
33,25,Bbmin7,Bb,48.0,8453.109375,7146.33447265625,5025.8486328125,2319.998779296875,7905.97021484375,10938.6220703125,2158.400634765625,3265.812255859375,5646.24853515625,4661.736328125,6608.759765625,2578.22607421875
34,26,Bmin7,B,50.0,434.7706298828125,667.5070190429688,1953.140625,748.4524536132812,300.59051513671875,852.98681640625,3657.8251953125,656.7872314453125,308.7182312011719,1363.2913818359375,644.5045776367188,1702.3570556640625
35,26,E7,E,51.0,636.5905151367188,466.2466735839844,2457.906005859375,1210.7552490234375,3020.7841796875,681.5175170898438,574.2579345703125,335.68231201171875,1412.6446533203125,396.1855773925781,528.0811157226562,2886.963623046875
36,27,Bbmin7,Bb,52.0,1967.8128662109375,5616.21875,1318.294921875,944.7938842773438,3938.052978515625,10569.8154296875,2030.5943603515625,827.1690063476562,4237.30126953125,2245.23388671875,6311.14990234375,2103.502197265625
37,28,Bmin7,B,54.0,440.4034729003906,1076.4688720703125,2109.625732421875,784.3818969726562,314.83349609375,935.7095336914062,3757.1572265625,696.93115234375,544.34619140625,1588.3076171875,1434.6859130859375,1800.8134765625
38,28,E7,E,55.0,601.021240234375,463.2639465332031,2451.986083984375,1213.6153564453125,3031.763427734375,688.13232421875,583.8455810546875,327.2685852050781,1410.7259521484375,384.2396545410156,523.0967407226562,2885.682373046875
39,29,Cmin7(b5),C,56.0,5958.94482421875,1404.455078125,2820.963134765625,10689.6015625,5003.279296875,1190.0264892578125,1079.5352783203125,4687.013671875,1160.9879150390625,1215.408447265625,6258.79736328125,3268.830810546875
40,30,F7,F,58.0,6601.55615234375,1473.0760498046875,2030.5933837890625,10335.326171875,5421.80810546875,4620.43505859375,1042.4720458984375,1224.15283203125,1631.34814453125,5241.37255859375,1322.54150390625,1476.57080078125
41,31,Bbmin7,Bb,60.0,1847.6005859375,5415.70849609375,1245.6036376953125,1136.3165283203125,4048.190185546875,11899.2421875,2183.976318359375,945.46533203125,4421.755859375,2197.657958984375,6186.22021484375,1532.9287109375
42,32,Eb7(#9),Eb,62.0,1377.0440673828125,6140.978515625,3539.463134765625,3922.2080078125,1515.4521484375,4998.36962890625,12371.2255859375,6715.40966796875,1752.5421142578125,2038.43505859375,6678.23974609375,1347.4405517578125
43,33,Abmaj7,Ab,64.0,5751.15966796875,1777.1036376953125,2585.8037109375,10211.705078125,2759.206298828125,990.8667602539062,1453.5106201171875,5966.71826171875,5698.61865234375,1162.208740234375,825.6044921875,1632.8870849609375
44,34,Bmin7,B,66.0,525.9003295898438,1165.1817626953125,2099.482666015625,1116.0494384765625,759.3378295898438,2787.7900390625,13718.1318359375,2482.080322265625,1020.876953125,5196.19873046875,1339.985107421875,1759.2481689453125
45,34,E7,E,67.0,11205.5966796875,15472.71875,100417.4140625,25684.78125,44291.421875,10122.291015625,13142.7177734375,10442.1083984375,56675.39453125,11999.62890625,8224.361328125,41211.80859375
46,37,Bbmin7,Bb,72.0,3862.4130859375,5180.919921875,1224.17724609375,1613.18212890625,2642.568359375,9782.30859375,2072.905029296875,3418.546630859375,16682.015625,4063.9384765625,6249.00146484375,1651.7315673828125
47,38,Bmin7,B,74.0,485.5487976074219,1140.5526123046875,2045.0655517578125,845.3453979492188,531.09765625,910.005126953125,3416.339599609375,724.9629516601562,1085.274169921875,4884.41552734375,1312.04541015625,1843.3822021484375
48,38,E7,E,75.0,597.2630004882812,450.301025390625,2442.063232421875,1207.2249755859375,3013.3876953125,682.7035522460938,581.1026000976562,326.1980285644531,1411.7852783203125,461.8272399902344,537.2153930664062,2894.406982421875
49,39,Bbmin7,Bb,76.0,4069.404541015625,5418.77294921875,1342.0240478515625,1726.0699462890625,4435.78369140625,10349.2099609375,2231.256591796875,3439.916015625,16835.708984375,4120.90625,6430.23876953125,2541.75244140625
50,40,Bmin7,B,78.0,479.5345458984375,1169.4561767578125,2161.1513671875,819.8728637695312,556.8329467773438,1160.0911865234375,4346.33740234375,805.3007202148438,1168.9146728515625,5874.63330078125,2370.589599609375,1940.90283203125
51,40,E7,E,79.0,595.8493041992188,451.8603820800781,2449.706787109375,1215.797119140625,3038.281982421875,686.9126586914062,580.55810546875,326.8446960449219,1411.2830810546875,453.0064392089844,534.2227172851562,2881.7021484375
52,41,Amaj7,A,80.0,2093.916259765625,5173.42041015625,1440.91796875,3202.419677734375,8615.8740234375,2648.809814453125,2011.8197021484375,2995.122802734375,17602.716796875,7612.00927734375,1609.9354248046875,3699.100341796875
53,42,Ab7,Ab,82.0,5705.380859375,1742.0474853515625,2072.9873046875,8337.8525390625,2583.139892578125,2371.781494140625,12210.6591796875,5649.046875,10402.166015625,1822.9556884765625,654.4574584960938,1257.0948486328125
54,43,Gmaj7,G,84.0,2033.5135498046875,1753.0120849609375,6440.25,2902.873046875,998.5579223632812,2674.553466796875,14349.0732421875,6994.21630859375,1188.2235107421875,1542.7071533203125,2086.750732421875,8841.884765625
55,44,Gb9,Gb,86.0,272.2513122558594,626.8143310546875,407.038818359375,399.96337890625,1052.6876220703125,604.3607177734375,602.34423828125,208.01593017578125,458.7652893066406,269.3203430175781,611.0791625976562,341.5992736816406
56,45,Gbmin7,Gb,88.0,1600.5450439453125,5615.45947265625,1404.88037109375,2999.258056640625,10505.8056640625,4185.53271484375,5869.01123046875,3136.630859375,15302.7548828125,9410.1708984375,1569.7264404296875,929.118408203125
57,46,Gmin7,G,90.0,296.85296630859375,401.9245300292969,1066.1365966796875,482.7747497558594,1066.3712158203125,3241.785400390625,1453.56591796875,1670.69873046875,1210.8857421875,5631.75244140625,2582.556884765625,464.0065612792969
58,46,C7,C,91.0,17.294797897338867,72.571044921875,169.70126342773438,52.428707122802734,134.61956787109375,677.2938232421875,127.28436279296875,47.60519027709961,16.732118606567383,48.58387756347656,42.60158920288086,17.448495864868164
59,47,Gbmin7,Gb,92.0,3437.755126953125,5989.388671875,1463.1832275390625,2379.60107421875,11304.0029296875,4668.97802734375,5606.68603515625,3160.048095703125,4883.068359375,21081.04296875,5015.84375,1545.7314453125
60,48,Gmin7,G,94.0,299.58447265625,408.3062744140625,1088.0513916015625,466.0650939941406,1076.4937744140625,3213.893798828125,1406.3326416015625,1625.0235595703125,1202.6180419921875,5698.26123046875,2705.603515625,480.9613342285156
61,48,C7,C,95.0,1660.3096923828125,479.5582275390625,535.1909790039062,927.4697265625,3503.490234375,1266.2340087890625,386.7299499511719,1482.9990234375,405.2646484375,394.1899108886719,1666.12548828125,797.1204223632812
62,49,Fmaj7,F,96.0,6875.82568359375,1521.7537841796875,762.8709106445312,2162.465576171875,10879.3466796875,6610.46044921875,1401.3131103515625,1775.2781982421875,2019.3763427734375,5324.41552734375,1541.0545654296875,1716.8360595703125
63,50,A7,A,98.0,1956.9410400390625,8408.8662109375,1916.3406982421875,2097.932861328125,9335.7841796875,2969.1025390625,1158.3695068359375,5567.45458984375,5463.708984375,19856.232421875,3346.000244140625,993.5762329101562
64,51,Dmin7,D,100.0,7108.9609375,2665.93701171875,6013.88330078125,1558.1324462890625,2661.294677734375,11284.9638671875,2623.656494140625,741.476806640625,1108.5819091796875,3951.238037109375,776.2643432617188,1181.4696044921875
65,52,G7,G,102.0,554.3181762695312,389.9429016113281,1061.9273681640625,618.217529296875,795.212890625,3401.697509765625,1441.0802001953125,1488.6837158203125,368.2512512207031,296.7648620605469,428.0862121582031,1744.28564453125
66,52,Cmin,C,103.0,59.98695373535156,51.26698684692383,159.4857635498047,42.22690200805664,107.8177490234375,667.6255493164062,126.1881332397461,53.97939682006836,10.89429759979248,15.713370323181152,55.14579391479492,278.66796875
67,53,Eb9(#11),Eb,104.0,3894.126953125,1559.4832763671875,1814.6585693359375,6456.865234375,1886.9561767578125,1651.38818359375,2228.339111328125,3583.970947265625,802.3825073242188,826.032470703125,1070.3524169921875,1271.8165283203125
68,54,Abmaj13(#11),Ab,106.0,37303.30859375,69134.4453125,52785.95703125,76808.84375,40944.13671875,127373.25,49276.265625,120445.78125,31625.255859375,19781.732421875,61942.421875,24187.587890625
