,Measure,charcoal Blues,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,F7,F,2.0,215.487548828125,230.0330047607422,954.9664916992188,479.8177185058594,481.3546142578125,2063.621337890625,482.3000793457031,321.537353515625,1528.021484375,1292.8131103515625,1744.7825927734375,327.8023681640625
1,3,Bb7,Bb,4.0,941.1718139648438,267.02056884765625,382.3589172363281,1568.5792236328125,950.1312866210938,1035.9349365234375,240.72669982910156,197.06898498535156,427.2956848144531,2389.6884765625,4919.74658203125,889.1071166992188
2,4,F7,F,6.0,260.0321960449219,202.171142578125,366.9399108886719,1595.3602294921875,427.1488037109375,919.4177856445312,1784.7342529296875,364.6814880371094,361.3422546386719,2068.119384765625,1874.1102294921875,974.7525024414062
3,5,B7,B,8.0,185.24708557128906,241.7354278564453,977.31201171875,432.264892578125,492.899658203125,1891.3565673828125,495.2157897949219,224.3477325439453,952.9862670898438,2125.83056640625,1904.30126953125,373.5456848144531
4,6,Bb7,Bb,10.0,192.17189025878906,219.14593505859375,951.2575073242188,371.5420837402344,462.405029296875,2014.1766357421875,513.7559814453125,329.4949035644531,1552.4290771484375,1336.01025390625,1756.208984375,336.9653625488281
5,7,Bb7,Bb,12.0,942.8363647460938,268.85205078125,375.9172668457031,1524.9083251953125,951.5479125976562,1018.9616088867188,246.307373046875,199.03663635253906,423.7930603027344,2382.24853515625,4956.86376953125,907.028564453125
6,8,F7,F,14.0,251.87933349609375,904.8007202148438,539.5162353515625,1503.9873046875,470.5662841796875,786.476318359375,283.2225036621094,741.2837524414062,439.6192932128906,1846.4180908203125,1859.3006591796875,371.2266845703125
7,9,Eb7,Eb,16.0,271.6529235839844,67.66949462890625,60.229217529296875,80.83429718017578,123.90484619140625,47.69450378417969,87.5891342163086,144.42288208007812,40.4693489074707,23.35717010498047,46.81911087036133,62.66438293457031
8,9,D7,D,17.0,141.3504180908203,25.4199275970459,20.65472984313965,70.42842102050781,279.2098083496094,57.119449615478516,33.38832473754883,118.7132568359375,50.23942947387695,194.9239501953125,134.74586486816406,60.968841552734375
9,10,C7,C,18.0,170.06639099121094,227.89830017089844,938.9949340820312,320.1697082519531,537.1394653320312,1400.20849609375,406.316162109375,297.0545349121094,773.9924926757812,995.593994140625,1040.5079345703125,208.6508026123047
10,11,Bb7,Bb,20.0,959.6502075195312,273.7983093261719,365.5351257324219,1546.35498046875,1043.087646484375,1223.9984130859375,281.9565124511719,247.39056396484375,462.9232177734375,2225.181884765625,2597.222900390625,585.8904418945312
11,12,F7,F,22.0,306.40234375,929.095703125,295.3909606933594,507.62744140625,1757.9659423828125,1344.773681640625,862.7222290039062,257.26654052734375,318.5619201660156,510.7490234375,1755.5255126953125,501.7563781738281
12,13,F#7,F#,24.0,7914.49462890625,3106.470458984375,1575.9996337890625,5741.4921875,7793.76025390625,13554.1728515625,4184.3583984375,3906.011962890625,6211.26025390625,23631.279296875,41526.10546875,8380.197265625
