,Measure,chicken,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bb7,Bb,0.0,104.12158966064453,178.5506591796875,652.5585327148438,205.2852325439453,291.17333984375,881.5250854492188,253.56214904785156,132.00714111328125,578.8154907226562,775.8525390625,2183.279296875,424.7955322265625
1,1,Eb7,Eb,1.0,39.41318893432617,131.99549865722656,437.2640075683594,132.2053985595703,80.7975845336914,310.0871887207031,136.1511688232422,54.38016128540039,62.14134216308594,205.77947998046875,412.4110412597656,101.72570037841797
2,2,Bb7,Bb,2.0,98.48907470703125,228.17254638671875,683.5840454101562,451.0525207519531,282.4393005371094,829.6064453125,263.0088806152344,234.5666046142578,503.5500793457031,333.9231872558594,710.794677734375,159.14691162109375
3,2,Eb7,Eb,3.0,21.3526668548584,36.55601501464844,108.92894744873047,290.8208923339844,206.69020080566406,624.3286743164062,158.31976318359375,507.9591369628906,95.01589965820312,28.507925033569336,26.487062454223633,45.3841667175293
4,3,Bb7,Bb,4.0,109.85415649414062,373.6030578613281,739.2161254882812,483.5405578613281,298.8605651855469,790.1293334960938,275.7895812988281,300.3512268066406,486.0247497558594,348.6085510253906,907.3610229492188,184.8525390625
5,3,Eb7,Eb,5.0,115.00879669189453,575.3688354492188,434.2057800292969,956.8935546875,235.43150329589844,271.5146484375,185.34165954589844,977.2141723632812,224.62550354003906,131.57720947265625,577.1754150390625,141.0466766357422
6,4,Bb7,Bb,6.0,86.73026275634766,163.22799682617188,627.4954833984375,407.521484375,246.69500732421875,830.8494262695312,257.6822814941406,174.0130157470703,483.1824951171875,310.5316467285156,581.4569702148438,125.35650634765625
7,4,Eb7,Eb,7.0,669.3550415039062,3637.853515625,2296.547607421875,5985.10107421875,1308.189208984375,1645.4906005859375,1045.0770263671875,5688.64208984375,1181.2706298828125,721.3783569335938,3688.678955078125,808.295166015625
8,6,Bb7,Bb,10.0,241.095947265625,576.7811889648438,2920.98828125,635.9618530273438,682.0121459960938,3038.010009765625,807.5414428710938,322.9577941894531,1430.7427978515625,1221.642578125,2887.805419921875,448.0148620605469
9,7,Bb7,Bb,12.0,236.0518035888672,428.0370788574219,1981.38818359375,518.4993286132812,647.90625,2969.447509765625,779.1941528320312,295.8265380859375,1426.6754150390625,916.0020141601562,2019.77392578125,362.8829040527344
10,8,Bb7,Bb,14.0,238.0532989501953,559.2523803710938,2864.801025390625,631.4252319335938,657.6171264648438,2922.396240234375,808.3463745117188,319.5919494628906,1445.0394287109375,1085.9442138671875,2032.5594482421875,360.535400390625
11,9,Bb7,Bb,16.0,228.96986389160156,432.5172119140625,2027.25,491.7584533691406,633.1218872070312,2923.613525390625,775.1166381835938,286.2160339355469,1419.9981689453125,930.2744750976562,1954.1505126953125,351.21875
12,10,Eb7,Eb,18.0,490.7317199707031,1960.2083740234375,1026.8695068359375,3110.510986328125,640.3347778320312,265.60821533203125,284.1783752441406,1524.7276611328125,351.867431640625,357.0108642578125,1934.2398681640625,460.8957824707031
13,11,Eb7,Eb,20.0,362.7530212402344,1925.1636962890625,995.6005249023438,3033.885986328125,608.1520385742188,229.20542907714844,283.908935546875,1549.32275390625,340.87359619140625,350.2552185058594,1896.8941650390625,432.6226806640625
14,12,D7,D,22.0,2016.1368408203125,862.5829467773438,1988.4996337890625,521.8832397460938,504.0265197753906,802.5125122070312,3809.385986328125,724.0903930664062,884.916748046875,5742.8515625,968.7042846679688,360.7486267089844
15,13,G7,G,24.0,498.5659484863281,383.912841796875,1341.84033203125,678.3952026367188,747.95361328125,3737.9365234375,1598.5194091796875,3340.366455078125,598.2889404296875,382.6651611328125,456.6149597167969,1919.20263671875
16,14,C7,C,26.0,1822.90234375,399.703369140625,373.8111572265625,811.094482421875,3831.178466796875,845.736572265625,465.5778503417969,1810.26806640625,445.40625,916.755615234375,5664.22119140625,1478.34423828125
17,15,C7,C,28.0,1810.4202880859375,423.3652648925781,361.1106262207031,819.0872192382812,3758.788818359375,770.1491088867188,455.6076354980469,1891.0926513671875,445.0389709472656,898.5587768554688,5578.47607421875,1392.97216796875
18,16,C7,C,30.0,1830.7076416015625,409.2337646484375,335.06817626953125,812.8225708007812,3765.993408203125,758.275146484375,434.1777038574219,1865.3070068359375,443.6504211425781,899.962646484375,5577.78173828125,1418.1925048828125
19,17,Bb,Bb,32.0,245.23399353027344,395.9751892089844,1964.73779296875,581.2866821289062,772.9432983398438,3146.9833984375,733.952392578125,409.2537841796875,2312.486572265625,1332.7442626953125,4048.006591796875,675.8594360351562
20,18,Bb7,Bb,34.0,86.58785247802734,166.3484649658203,605.8026123046875,178.08538818359375,230.9403533935547,808.8439331054688,243.97328186035156,102.25951385498047,455.5381774902344,315.1700744628906,554.5516357421875,124.79155731201172
21,18,Eb7,Eb,35.0,119.22219848632812,571.4539794921875,435.0640563964844,969.4088745117188,245.658935546875,277.2408752441406,184.4148406982422,959.596923828125,222.4161834716797,135.75807189941406,600.9579467773438,144.91346740722656
22,19,Bb7,Bb,36.0,86.34075927734375,164.39430236816406,629.0177612304688,419.131591796875,259.81585693359375,830.5111694335938,259.4207763671875,176.3597869873047,486.1000061035156,311.03155517578125,580.9505004882812,124.41226196289062
23,19,Eb7,Eb,37.0,115.28324127197266,573.11572265625,432.0645446777344,947.7478637695312,235.06317138671875,273.4309387207031,188.69712829589844,997.914306640625,227.58148193359375,133.2142791748047,583.743896484375,142.60189819335938
24,20,Bb7,Bb,38.0,89.92916870117188,163.89732360839844,627.6945190429688,417.7776794433594,254.38421630859375,831.0158081054688,258.3246765136719,173.27735900878906,484.0184326171875,310.6260681152344,581.7234497070312,125.62295532226562
25,20,Eb7,Eb,39.0,113.99153900146484,571.7697143554688,434.0679016113281,946.9627075195312,232.5106964111328,271.7436218261719,188.2354278564453,997.6650390625,226.9449920654297,132.89254760742188,584.9379272460938,141.01182556152344
26,21,Bb7,Bb,40.0,86.92697143554688,162.59515380859375,627.3642578125,415.5798034667969,251.4290008544922,831.0143432617188,257.8670959472656,173.38458251953125,483.4533996582031,310.8701477050781,581.8363037109375,125.57546997070312
27,21,Eb7,Eb,41.0,564.9260864257812,2870.771240234375,2175.064453125,4991.7421875,1246.0123291015625,2395.66943359375,950.7694702148438,3684.378173828125,1020.3433227539062,1202.4090576171875,7041.208984375,1310.0606689453125
