,Measure,dat dere,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Cmin7,C,2.0,439.5141906738281,89.46302032470703,51.856075286865234,197.45677185058594,101.82707977294922,38.051124572753906,36.03470230102539,89.0431137084961,37.21390151977539,50.41497802734375,42.84650802612305,82.56536865234375
1,2,Cmin7/Bb,C,3.0,331.4926452636719,67.3403091430664,48.79005813598633,171.64447021484375,305.7307434082031,153.09275817871094,55.32136535644531,187.22247314453125,70.60796356201172,52.7325325012207,41.48722839355469,87.58322143554688
2,3,Amin7(b5),A,4.0,179.592529296875,60.70669937133789,121.79259490966797,316.82196044921875,190.53492736816406,43.594600677490234,90.71822357177734,498.6451110839844,255.15960693359375,717.6686401367188,136.3547821044922,56.22465133666992
3,3,Abmaj7,Ab,5.0,198.2005615234375,59.515071868896484,79.89016723632812,194.0137939453125,323.5824279785156,156.427490234375,128.53163146972656,478.9635925292969,131.82513427734375,66.56971740722656,44.87147521972656,60.82478332519531
4,4,Amin7(b5),A,6.0,200.99542236328125,65.95177459716797,111.7203140258789,126.21820068359375,184.37115478515625,414.2007751464844,280.9515686035156,732.5886840820312,147.77493286132812,68.48440551757812,33.787967681884766,51.1845703125
5,4,D7(#9),D,7.0,87.65242767333984,50.00047302246094,147.15997314453125,51.22013473510742,89.31401824951172,333.79779052734375,114.11847686767578,117.61029052734375,34.87834548950195,78.71492767333984,30.69078254699707,56.25529479980469
6,5,Dmin7(b5),D,8.0,523.4891357421875,111.07508087158203,122.38420867919922,99.40966033935547,91.60171508789062,306.2701110839844,85.33954620361328,107.93819427490234,30.6180477142334,31.537492752075195,88.87335205078125,226.8994903564453
7,5,G7,G,9.0,986.844482421875,161.56329345703125,93.89553833007812,320.2732849121094,123.14948272705078,157.8599395751953,63.38187789916992,182.6042938232422,43.292484283447266,52.25617599487305,124.84799194335938,212.96653747558594
8,6,Cmin7,C,10.0,478.8271484375,99.47088623046875,73.21846771240234,284.9045104980469,142.831787109375,77.64868927001953,55.17607498168945,174.51641845703125,51.650333404541016,56.04494857788086,66.95597839355469,103.69918060302734
9,6,Cmin7/Bb,C,11.0,989.4880981445312,157.06475830078125,58.20309829711914,213.63307189941406,303.0890197753906,177.06268310546875,61.726436614990234,185.12962341308594,71.3915786743164,53.62403869628906,48.47091293334961,201.60728454589844
10,7,Amin7(b5),A,12.0,211.13380432128906,70.87996673583984,97.68697357177734,312.275634765625,137.7001190185547,180.55816650390625,72.00263214111328,167.83741760253906,67.56037139892578,60.49647521972656,39.53951644897461,51.61281967163086
11,7,Abmaj7,Ab,13.0,251.416259765625,144.1645050048828,319.9187927246094,202.0500030517578,281.1700134277344,1132.9537353515625,453.6886901855469,474.1142883300781,128.96861267089844,231.34033203125,825.3536987304688,663.291259765625
12,8,Dmin7(b5),D,14.0,407.985595703125,97.40634155273438,97.08350372314453,113.39881134033203,100.19237518310547,278.9882507324219,159.9620819091797,405.3887023925781,82.76325225830078,74.49160766601562,358.2452697753906,320.7598571777344
13,8,G7,G,15.0,177.0935821533203,51.34834289550781,96.39867401123047,275.8130187988281,79.95561218261719,105.0680923461914,63.95870590209961,145.4579315185547,28.85499382019043,24.54932403564453,67.4101791381836,92.05475616455078
14,9,Cmin7,C,16.0,885.4473266601562,163.3240203857422,138.3876495361328,133.3980255126953,95.81392669677734,293.06976318359375,78.4344482421875,110.0268325805664,29.794397354125977,32.491947174072266,92.6346435546875,277.1836242675781
15,9,G7,G,17.0,339.3853454589844,58.553497314453125,68.09654998779297,269.71051025390625,74.15978240966797,51.751712799072266,27.729936599731445,112.8364486694336,20.075761795043945,12.520756721496582,63.26028823852539,95.00682830810547
16,10,Cmin7,C,18.0,1163.7647705078125,418.1715087890625,892.1077270507812,474.1602783203125,463.2945251464844,1878.7742919921875,488.1969909667969,421.2828369140625,232.39105224609375,647.0255737304688,172.8323516845703,242.17762756347656
17,11,Dmin7,D,20.0,132.67730712890625,26.447021484375,71.73377990722656,125.14604949951172,43.02874755859375,62.80335998535156,110.15946197509766,542.2999267578125,126.94359588623047,18.284025192260742,32.22810745239258,61.81376647949219
18,11,G7,G,20.666666666666668,351.2049865722656,105.62239837646484,128.5498809814453,123.16411590576172,283.8612365722656,114.3376235961914,295.0481262207031,613.41162109375,195.69200134277344,160.48924255371094,165.64865112304688,106.66426849365234
19,11,Cmin7,C,21.33333333333333,216.46705627441406,80.41944122314453,128.17100524902344,79.34003448486328,135.43673706054688,191.57244873046875,174.26531982421875,104.57898712158203,45.61579513549805,117.03225708007812,257.2424011230469,88.1622085571289
20,12,Amin7(b5),A,22.0,103.7750244140625,34.882843017578125,81.0996322631836,32.1361083984375,79.41068267822266,189.3992919921875,119.38236236572266,421.6000671386719,142.71282958984375,219.9503631591797,114.7498550415039,50.22702407836914
21,12,D7,D,22.66666666666667,123.46089935302734,33.32053756713867,52.26792526245117,80.88800811767578,210.10174560546875,102.2107162475586,80.48921203613281,527.4805908203125,143.58509826660156,86.18123626708984,26.707487106323242,47.54006576538086
22,12,Gmin7,G,23.33333333333333,132.9029083251953,43.166255950927734,65.67394256591797,97.56802368164062,202.56951904296875,280.0848388671875,161.27194213867188,87.1313705444336,68.91873931884766,135.3311309814453,285.0060729980469,76.75593566894531
23,13,Amin7(b5),A,24.0,121.33968353271484,54.063907623291016,119.12899017333984,138.02134704589844,149.33238220214844,307.2215270996094,243.64308166503906,684.2980346679688,136.12864685058594,58.894744873046875,36.199615478515625,41.269447326660156
24,13,D7(#9),D,25.0,186.16087341308594,63.40272903442383,124.52007293701172,46.562808990478516,83.91150665283203,321.6927185058594,111.25680541992188,129.06973266601562,35.84455490112305,74.40764617919922,34.86234664916992,77.34318542480469
25,14,Dmin7(b5),D,26.0,152.64588928222656,62.059600830078125,120.25238800048828,41.95200729370117,94.63870239257812,354.0112609863281,84.40916442871094,98.7098617553711,32.55742263793945,51.52742385864258,42.387184143066406,150.3727264404297
26,14,G7,G,27.0,168.9965057373047,72.95761108398438,221.259033203125,350.2804260253906,221.4327392578125,790.7189331054688,234.14808654785156,299.73876953125,90.3563232421875,105.58673858642578,96.5340576171875,358.0693664550781
27,15,Dmin7(b5),D,28.0,110.26580810546875,38.49810791015625,113.3791732788086,202.402587890625,56.57377624511719,70.27619171142578,117.83575439453125,573.779541015625,148.29685974121094,36.46944808959961,127.17633819580078,75.8309097290039
28,15,G7,G,28.66666666666667,343.5382995605469,103.1178207397461,139.41741943359375,159.39776611328125,276.3554382324219,118.73788452148438,290.6542053222656,604.707275390625,200.8983917236328,166.3207550048828,188.27476501464844,110.9402084350586
29,15,Cmin7,C,29.33333333333333,232.50877380371094,61.03131103515625,94.036376953125,49.5412712097168,88.2063980102539,66.32935333251953,138.02488708496094,40.29507827758789,18.97297477722168,116.73300170898438,277.4905700683594,77.5184326171875
30,16,Amin7(b5),A,30.0,194.9305419921875,40.18354797363281,50.752811431884766,58.41342544555664,61.6057243347168,202.26963806152344,100.36292266845703,94.78046417236328,25.587257385253906,54.4938850402832,77.87873840332031,84.26520538330078
31,16,D7,D,30.66666666666667,179.61390686035156,56.98463821411133,141.5441436767578,93.11172485351562,60.44137954711914,183.34471130371094,49.86198043823242,19.969324111938477,17.17418098449707,108.88045501708984,264.6889953613281,73.68910217285156
32,16,Gmin7,G,31.33333333333333,106.3353042602539,50.55662536621094,176.95375061035156,131.9091033935547,108.00019073486328,447.0177307128906,221.9901123046875,208.8928680419922,68.1791763305664,70.68675994873047,76.87605285644531,236.9656524658203
33,17,Dmin7(b5),D,32.0,802.35205078125,164.071533203125,138.36471557617188,110.21456146240234,111.0461654663086,316.94232177734375,182.26158142089844,459.6999816894531,89.09247589111328,79.18601989746094,328.51934814453125,313.8597717285156
34,17,G7,G,33.0,189.7753448486328,35.98414993286133,68.08748626708984,270.2349548339844,78.23368072509766,54.247406005859375,39.413055419921875,127.28765869140625,21.121644973754883,18.13424301147461,60.17319107055664,59.916133880615234
35,18,Cmin7,C,34.0,914.3915405273438,191.9656982421875,240.4166259765625,229.94273376464844,215.6060791015625,740.6611328125,240.55470275878906,314.29913330078125,96.72327423095703,72.23729705810547,146.51368713378906,497.6426086425781
