,Measure,ghana,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Ebmin7,Eb,0.0,884.7841796875,5183.666015625,2516.296142578125,8716.5830078125,1469.6739501953125,2068.844482421875,10064.0107421875,1883.3333740234375,405.3270263671875,1359.3382568359375,8637.9521484375,1383.4844970703125
1,3,Ebmin7,Eb,4.0,19333.19140625,32852.26171875,15303.6669921875,46635.546875,8512.220703125,10367.9013671875,46152.8125,9485.5595703125,3734.715087890625,12447.8271484375,79843.5390625,13453.59765625
2,10,Ebmin7,Eb,18.0,3347.766357421875,19902.396484375,7738.45458984375,26317.46875,4567.2138671875,6203.07958984375,24330.419921875,5134.2236328125,1229.085205078125,2733.343994140625,15483.265625,2717.535400390625
3,14,Abmin,Ab,26.0,114.47930908203125,58.277286529541016,197.300537109375,766.4535522460938,142.47105407714844,84.3526840209961,118.8428955078125,193.91796875,477.2688903808594,297.2914123535156,1414.5955810546875,687.332763671875
4,14,Db7,Db,27.0,304.90484619140625,502.2692565917969,162.36837768554688,349.47216796875,267.783203125,1124.6588134765625,228.16111755371094,137.59066772460938,648.8236694335938,139.5431671142578,182.2355194091797,940.3970336914062
5,15,Gb7,Gb,28.0,202.4589385986328,573.1709594726562,137.91087341308594,359.4261779785156,1092.3507080078125,692.4677734375,486.3919372558594,309.0465393066406,1503.2587890625,404.0726318359375,618.4398803710938,256.2863464355469
6,15,B7,B,29.0,143.1456298828125,199.8322296142578,223.38551330566406,1090.81005859375,370.5911865234375,331.9209899902344,1411.3189697265625,248.46832275390625,96.26264190673828,462.294677734375,286.2790832519531,605.0478515625
7,16,Fmin7,F,30.0,2249.90576171875,690.9721069335938,743.0387573242188,2807.284912109375,1276.244873046875,1633.7647705078125,755.7578125,771.8849487304688,1629.52490234375,562.8359985351562,939.678466796875,829.979736328125
8,17,Bb7,Bb,32.0,351.7168273925781,704.1201782226562,2135.418212890625,585.330810546875,753.5094604492188,3308.148681640625,908.4185180664062,365.7763977050781,1863.9053955078125,1599.5882568359375,6236.20751953125,1092.8795166015625
9,18,Ebmin7,Eb,34.0,3420.7705078125,19077.6640625,8066.48583984375,26757.373046875,4896.0302734375,7682.400390625,24382.544921875,5119.82861328125,1339.4173583984375,2826.029296875,15476.1435546875,2804.822998046875
10,22,Abmin7,Ab,42.0,115.83765411376953,75.42218017578125,204.19976806640625,763.013671875,156.1123504638672,287.4816589355469,1118.318359375,351.7080383300781,493.9610290527344,308.3898620605469,1431.92626953125,680.465087890625
11,22,Db7,Db,43.0,305.19293212890625,501.5333251953125,162.0623321533203,349.2930908203125,268.7279968261719,1148.2393798828125,359.0546569824219,153.6627655029297,646.6638793945312,138.9285888671875,182.4863739013672,940.1196899414062
12,23,Gb7,Gb,44.0,202.6042938232422,573.2501220703125,138.1320343017578,359.5240783691406,1092.3861083984375,688.947265625,486.5998840332031,309.3651123046875,1505.0657958984375,403.4541015625,618.672119140625,256.5490417480469
13,23,B7,B,45.0,142.7979736328125,199.568115234375,223.64695739746094,1091.618408203125,370.8827209472656,325.3791809082031,1372.1917724609375,241.7652587890625,96.1058120727539,462.04296875,286.68450927734375,605.4878540039062
14,24,Fmin7,F,46.0,636.4059448242188,178.1074676513672,230.6436004638672,838.8048706054688,411.5591125488281,477.6204528808594,247.9900665283203,276.6341552734375,577.8959350585938,191.4110565185547,86.10256958007812,204.3182830810547
15,24,Bb7,Bb,47.0,137.16226196289062,43.40140914916992,40.48772430419922,203.7548065185547,75.47454071044922,186.21136474609375,58.48908996582031,33.87604522705078,33.09770584106445,40.499732971191406,14.983216285705566,38.943084716796875
16,25,Ebmin7,Eb,48.0,441.1376037597656,2236.991943359375,1631.4029541015625,3353.6171875,839.5385131835938,2024.12841796875,3629.478515625,726.1425170898438,455.1411437988281,564.2669067382812,2305.50048828125,427.5979309082031
17,26,Abmin7,Ab,50.0,409.07275390625,259.471923828125,665.1838989257812,2785.839111328125,509.5612487792969,1045.16943359375,4311.88037109375,1098.24658203125,1630.3436279296875,1010.9081420898438,5098.71826171875,2456.138427734375
18,27,Db7,Db,52.0,777.95556640625,1674.4888916015625,343.6787414550781,277.4549865722656,777.0338745117188,3903.3017578125,765.86865234375,249.4322509765625,1280.9505615234375,302.89154052734375,371.1470642089844,2021.05517578125
19,28,Gbmaj7,Gb,54.0,1592.4649658203125,6156.345703125,1353.084228515625,1480.9608154296875,2260.534423828125,11848.375,6185.47216796875,1182.306396484375,925.9478149414062,1974.9600830078125,7178.466796875,1306.9036865234375
