,Measure,isthereaplaceforus,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Ebmaj7,Eb,0.0,156.79283142089844,608.937744140625,4007.554443359375,3593.705810546875,630.51220703125,191.77996826171875,323.0188903808594,1500.3568115234375,330.7211608886719,595.2530517578125,1955.1239013671875,407.2303771972656
1,2,Amin7,A,2.0,527.7817993164062,233.01202392578125,809.5068969726562,362.33251953125,889.0810546875,183.06097412109375,122.4442138671875,641.2583618164062,287.6310729980469,567.8348388671875,151.8804168701172,182.03147888183594
2,2,D7,D,3.0,85.83685302734375,21.411943435668945,31.693204879760742,67.07341003417969,159.5018310546875,31.27410125732422,10.765912055969238,42.267738342285156,13.291168212890625,10.681021690368652,5.764663219451904,21.984107971191406
3,3,Fmin7,F,4.0,3861.533935546875,849.1431274414062,1216.19287109375,2730.871826171875,1294.6470947265625,1773.0035400390625,1271.930419921875,928.5966186523438,1770.0789794921875,917.6287231445312,274.7875061035156,744.34033203125
4,4,Eb13,Eb,6.0,2435.6962890625,2307.69775390625,1742.2733154296875,1762.6639404296875,1011.451416015625,3451.213134765625,1463.0789794921875,4753.45556640625,2118.43505859375,768.6812133789062,2061.815673828125,748.4032592773438
5,5,Ebmaj7,Eb,8.0,230.2196502685547,708.182861328125,4044.2158203125,3719.431640625,663.7952270507812,278.2183532714844,344.7093811035156,1434.4267578125,343.3651123046875,617.9480590820312,2071.7001953125,418.2952575683594
6,6,Amin7,A,10.0,522.6459350585938,234.2178497314453,787.0297241210938,363.2664489746094,886.2578125,183.1317138671875,123.87903594970703,644.4129638671875,285.732666015625,567.61279296875,150.10691833496094,180.0951385498047
7,6,D7,D,11.0,83.9054946899414,21.529775619506836,30.9682674407959,69.1038589477539,159.8683624267578,39.7743034362793,14.133267402648926,43.32144546508789,14.016536712646484,10.791459083557129,5.548448085784912,21.93609046936035
8,7,Fmin7,F,12.0,3863.481689453125,857.0729370117188,1230.597900390625,2743.771484375,1310.8673095703125,1854.2156982421875,1280.665771484375,923.5543823242188,1774.5911865234375,919.86083984375,281.466552734375,744.3095092773438
9,8,Bb13,Bb,14.0,1340.9276123046875,344.1397705078125,502.8582458496094,837.175537109375,495.3909912109375,551.851318359375,423.8870544433594,1619.4439697265625,716.2240600585938,175.37474060058594,140.17413330078125,374.7841491699219
