,Measure,lhcd,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bb7,Bb,0.0,367.12158203125,524.7409057617188,2157.57958984375,595.7191162109375,1046.4832763671875,4123.06396484375,964.503173828125,393.3142395019531,1802.39306640625,2119.187744140625,6615.24072265625,1136.3697509765625
1,2,Eb7,Eb,2.0,452.933837890625,2163.599365234375,2530.500732421875,11798.72265625,1946.1263427734375,952.5963745117188,447.2995300292969,1665.9027099609375,323.1228942871094,143.3334503173828,395.4494934082031,273.2015380859375
2,3,Bb7,Bb,4.0,366.6745910644531,544.6312866210938,2232.804443359375,689.237548828125,1050.3028564453125,3956.477783203125,931.1306762695312,408.6741638183594,1785.3785400390625,2087.789306640625,6626.55126953125,1139.1920166015625
3,4,Eb7,Eb,6.0,453.1126708984375,2162.864013671875,2538.20751953125,11880.3349609375,1961.46142578125,952.4133911132812,476.333984375,1840.3004150390625,346.8918151855469,142.60191345214844,395.4864807128906,277.5163879394531
4,5,Bb7,Bb,8.0,369.0835266113281,558.2354125976562,2232.80419921875,690.5568237304688,1050.8538818359375,3965.219970703125,931.5676879882812,408.9461364746094,1793.39208984375,2111.131103515625,6714.35302734375,1149.793701171875
5,6,Eb7,Eb,10.0,445.1814270019531,2106.476806640625,2539.24609375,11898.0341796875,1964.52294921875,952.3024291992188,475.772705078125,1835.7611083984375,345.1427307128906,153.96656799316406,475.208740234375,285.8372497558594
6,7,Bb7,Bb,12.0,372.7604064941406,576.6048583984375,2296.509765625,1078.6571044921875,1127.4066162109375,3960.540283203125,940.265869140625,456.4813232421875,1812.43359375,2106.57275390625,6698.51708984375,1154.11474609375
7,8,Eb7,Eb,14.0,455.4549560546875,2171.8857421875,2558.55859375,11944.5908203125,1999.9920654296875,1091.3619384765625,516.8379516601562,1866.2542724609375,477.00634765625,554.7606811523438,3181.2880859375,721.417236328125
8,9,Bb7,Bb,16.0,369.0856018066406,558.2359619140625,2232.80712890625,690.545166015625,1050.83935546875,3965.193115234375,931.5720825195312,408.9619445800781,1793.40234375,2111.066650390625,6714.21533203125,1149.7916259765625
9,10,Eb7,Eb,18.0,445.1800842285156,2106.465576171875,2539.24072265625,11898.0283203125,1964.52294921875,952.3057250976562,475.7748718261719,1835.7647705078125,345.1426696777344,153.96485900878906,475.1969909667969,285.83551025390625
10,11,Bb7,Bb,20.0,372.7599792480469,576.6041259765625,2296.510986328125,1078.6541748046875,1127.4088134765625,3960.542236328125,940.2640991210938,456.4836120605469,1812.4365234375,2106.57666015625,6698.513671875,1154.1131591796875
11,12,Eb7,Eb,22.0,455.4539794921875,2171.883056640625,2558.562255859375,11944.5966796875,1999.9942626953125,1091.360107421875,516.8367919921875,1866.2503662109375,477.0045166015625,554.760498046875,3181.285888671875,721.4174194335938
12,13,Gbmaj13(#11),Gb,24.0,873.6571655273438,1959.1318359375,565.4546508789062,907.622802734375,911.8439331054688,3655.604736328125,3014.7900390625,791.5302124023438,1447.9666748046875,816.393798828125,2439.6337890625,2377.114990234375
13,14,Abmaj13(#11),Ab,26.0,325.41748046875,559.7442016601562,490.6867980957031,534.8412475585938,360.7192687988281,1032.478759765625,525.4646606445312,590.1463012695312,362.2470703125,363.5658874511719,1471.8675537109375,350.5472412109375
14,14,Bb7,Bb,27.0,770.5335083007812,1632.6937255859375,3824.732666015625,2142.223876953125,1806.3209228515625,8187.74658203125,2022.6617431640625,954.9541015625,2628.3271484375,2321.470947265625,8869.6884765625,1558.6256103515625
15,17,Bb7,Bb,32.0,97.43949127197266,130.232666015625,333.59014892578125,296.66656494140625,252.18849182128906,699.3748168945312,182.3356475830078,247.5513458251953,850.9762573242188,790.3394165039062,2593.34765625,428.8926086425781
16,18,Eb7,Eb,34.0,474.8103942871094,2157.609619140625,2836.69140625,11608.2724609375,2067.894775390625,788.3694458007812,404.1461181640625,1641.6246337890625,456.7857971191406,764.01904296875,3721.790771484375,778.7345581054688
17,19,Bb7,Bb,36.0,504.4407653808594,1084.8568115234375,2151.212646484375,1179.9700927734375,739.83740234375,2616.691162109375,732.3141479492188,360.2646179199219,1514.9364013671875,1118.8616943359375,2751.919189453125,551.4907836914062
18,20,Eb7,Eb,38.0,188.6400146484375,755.475341796875,592.7645874023438,1920.7730712890625,467.45703125,520.3201904296875,114.71502685546875,211.9488525390625,157.5653533935547,384.2751159667969,1665.0125732421875,385.0113525390625
19,21,Bb7,Bb,40.0,1444.0106201171875,4899.865234375,8995.431640625,4702.1533203125,3201.584716796875,12370.0908203125,2978.430908203125,1966.50537109375,8240.3046875,5775.71484375,18888.865234375,2710.640869140625
