,Measure,lyresto,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Ebmaj7,Eb,0.0,959.289794921875,557.44970703125,2689.568603515625,3377.508056640625,621.9531860351562,173.7480010986328,298.12652587890625,1511.0694580078125,321.0926513671875,404.4466857910156,1954.2705078125,530.0935668945312
1,2,Gmin7,G,2.0,449.1330871582031,154.3504180908203,336.7744445800781,132.34715270996094,230.7575225830078,857.3729858398438,344.3766174316406,483.685791015625,139.56427001953125,234.0083465576172,535.410400390625,184.22206115722656
2,2,F7,F,3.0,68.5211410522461,35.634910583496094,68.05357360839844,121.32321166992188,97.2223892211914,317.3780212402344,65.75133514404297,50.4276008605957,38.87907791137695,78.09130096435547,26.290382385253906,22.88074493408203
3,3,Fmin7,F,4.0,2126.53955078125,502.42529296875,844.8206176757812,2630.432861328125,1318.48095703125,1570.625,884.583251953125,4793.5986328125,2265.57373046875,431.7456359863281,214.03753662109375,527.0796508789062
4,4,Bb7,Bb,6.0,278.31854248046875,436.90087890625,2118.406005859375,587.8171997070312,715.8171997070312,3129.314697265625,943.952880859375,1590.0184326171875,1608.8236083984375,883.493896484375,1979.80810546875,372.2721862792969
5,5,Ebmaj7,Eb,8.0,890.6290893554688,593.0017700195312,2987.206787109375,3508.5,663.8731689453125,254.37603759765625,312.4027404785156,1510.9683837890625,335.8880310058594,414.1917724609375,1950.0687255859375,523.4616088867188
6,6,Gmin7,G,10.0,415.7775573730469,150.41331481933594,340.0186462402344,134.46304321289062,232.9080810546875,879.0198364257812,346.879150390625,482.534423828125,139.54525756835938,232.874267578125,534.1460571289062,177.5028839111328
7,6,C7,C,11.0,550.8994140625,147.90298461914062,175.56617736816406,360.3785095214844,1155.321533203125,487.7841491699219,143.00572204589844,491.9493713378906,136.18470764160156,160.32598876953125,542.4015502929688,253.20201110839844
8,7,Abmin7,Ab,12.0,676.1574096679688,283.5534362792969,701.075927734375,3147.6552734375,1247.3170166015625,1060.5687255859375,3951.2333984375,1164.7901611328125,1681.7039794921875,1041.75634765625,5229.44775390625,2541.87548828125
9,8,Db7,Db,14.0,822.780029296875,1738.8001708984375,362.2654724121094,270.49285888671875,820.6591796875,3927.559326171875,771.2894897460938,256.1563415527344,1281.06005859375,603.1470336914062,2414.60400390625,2309.968017578125
10,9,Gmin7,G,16.0,69.268798828125,119.68606567382812,398.6400451660156,130.89151000976562,208.17222595214844,846.8082885742188,495.7544250488281,1360.8052978515625,299.6475524902344,249.29803466796875,624.8256225585938,157.64535522460938
11,9,F#min7,F#,17.0,13.758835792541504,26.61273956298828,65.35174560546875,21.16982650756836,41.60015106201172,212.65191650390625,44.79183578491211,30.551816940307617,24.320714950561523,57.8070068359375,266.87542724609375,53.845947265625
12,10,B7,B,18.0,791.89794921875,1402.0732421875,1152.7122802734375,4252.27587890625,2512.4921875,1240.90966796875,4016.08984375,837.40283203125,635.9442138671875,2187.935302734375,1105.3953857421875,2140.624755859375
13,11,Fmin7,F,20.0,4993.73193359375,883.6693725585938,767.1343383789062,3065.077392578125,1364.8587646484375,1414.0115966796875,415.3536682128906,718.0734252929688,1698.1673583984375,440.2681884765625,479.2981872558594,2623.5791015625
14,12,Fmin7,F,22.0,639.267578125,175.9471893310547,201.66917419433594,684.3700561523438,390.7712707519531,460.4933776855469,129.188720703125,255.77467346191406,494.107177734375,156.6033935546875,69.14220428466797,154.3023223876953
15,12,Bb7,Bb,23.0,210.31988525390625,196.1870880126953,648.992919921875,425.0962829589844,280.17803955078125,999.2658081054688,271.4084777832031,112.96340942382812,484.29736328125,298.7003173828125,576.4451904296875,150.09523010253906
16,13,Gmin7,G,24.0,291.65179443359375,391.9101257324219,1528.9114990234375,528.6792602539062,789.9041137695312,2990.9306640625,1299.528076171875,4005.8681640625,1136.9595947265625,968.0856323242188,3038.4990234375,592.322021484375
17,14,C7,C,26.0,1891.3626708984375,545.7024536132812,432.11767578125,864.807861328125,3800.729736328125,795.8389282226562,383.1490478515625,1492.4295654296875,556.2158813476562,1732.3404541015625,2357.621337890625,893.1063842773438
18,15,Fmin7,F,28.0,2149.220703125,513.4022827148438,717.3242797851562,3132.6689453125,1285.0130615234375,1330.344970703125,356.7485656738281,987.5066528320312,1722.4708251953125,382.8348083496094,215.15122985839844,475.7489318847656
19,16,Bb7,Bb,30.0,311.41754150390625,419.6268615722656,2090.6171875,765.9747924804688,866.779052734375,3171.479736328125,811.1779174804688,467.1361083984375,2571.131103515625,1397.5997314453125,4089.836181640625,698.724853515625
20,17,Ebmaj7,Eb,32.0,889.4432983398438,587.7522583007812,2944.556640625,3543.270751953125,677.8433227539062,255.4246826171875,325.3714904785156,1481.8404541015625,330.5856018066406,413.1278991699219,1950.8463134765625,522.3798828125
21,18,Gmin7,G,34.0,416.3887023925781,150.51510620117188,338.95751953125,137.43521118164062,242.1686248779297,870.7267456054688,346.683349609375,485.5860900878906,139.37037658691406,231.33013916015625,533.4291381835938,177.78797912597656
22,18,C7,C,35.0,550.8721313476562,148.00942993164062,175.29249572753906,358.30517578125,1146.961181640625,486.9925537109375,143.1453399658203,492.3943176269531,136.1167449951172,159.95477294921875,542.5092163085938,252.6927947998047
23,19,Fmin7,F,36.0,2152.833251953125,499.6235656738281,838.981201171875,3036.9482421875,1980.42138671875,1728.6290283203125,965.5330200195312,5230.6845703125,2356.100341796875,413.6701354980469,316.3504943847656,525.46142578125
24,20,Bb7,Bb,38.0,277.0757751464844,434.3984069824219,2126.281982421875,573.6213989257812,742.7177734375,3144.0400390625,948.8596801757812,1648.8812255859375,1600.2786865234375,864.4688110351562,1955.4207763671875,367.6083068847656
25,21,Ebmaj7,Eb,40.0,2110.233154296875,832.512939453125,3082.7783203125,3640.8564453125,711.530517578125,273.5413818359375,348.8359375,1579.4140625,371.9490051269531,438.890380859375,2019.6787109375,735.2321166992188
26,22,Gmin7,G,42.0,415.80224609375,149.48977661132812,335.2117004394531,130.2680206298828,227.9066925048828,878.96533203125,347.6043701171875,487.1221008300781,139.6542510986328,233.11094665527344,533.8611450195312,177.7841033935547
27,22,C7,C,43.0,552.5960083007812,156.55792236328125,187.37843322753906,366.7912292480469,1160.99609375,484.4322509765625,174.1020050048828,497.3111267089844,140.4409637451172,160.8591766357422,546.3733520507812,253.81700134277344
28,23,Abmin7,Ab,44.0,676.2282104492188,284.2379455566406,702.1956176757812,3149.640380859375,1244.593994140625,1060.4794921875,3957.2412109375,1168.4962158203125,1698.95654296875,1046.0423583984375,5228.25244140625,2539.910888671875
29,24,Db7,Db,46.0,822.3814086914062,1739.26513671875,364.939453125,270.3440856933594,820.7011108398438,3929.996337890625,772.1499633789062,256.459716796875,1277.2744140625,602.7057495117188,2415.019775390625,2309.876708984375
30,25,Bbmin7,Bb,48.0,564.53369140625,1699.4244384765625,406.505615234375,275.7279968261719,657.9893798828125,3164.9306640625,607.7984619140625,270.4405212402344,1374.6544189453125,792.0907592773438,2513.748291015625,506.3854064941406
31,26,Eb7,Eb,50.0,944.9547729492188,2270.66650390625,1129.7181396484375,3470.019287109375,765.3112182617188,289.3622131347656,323.02947998046875,1819.0574951171875,432.3183288574219,383.8548889160156,2121.511474609375,577.5307006835938
32,27,Abmin7,Ab,52.0,401.0827331542969,272.0339660644531,625.9105834960938,2783.654296875,494.7105712890625,720.2991333007812,3907.987060546875,1319.3016357421875,3345.962890625,735.1703491210938,1035.1070556640625,1867.5467529296875
33,28,Db7,Db,54.0,799.9442749023438,1744.1865234375,607.9509887695312,309.9699401855469,752.2042846679688,3936.295654296875,808.7973022460938,256.8648376464844,1382.9229736328125,1392.921875,4483.5859375,2608.319580078125
34,29,Ebmaj13,Eb,56.0,603.7644653320312,245.7877197265625,471.1557922363281,433.2699890136719,321.0124816894531,900.3836059570312,405.7139587402344,625.1548461914062,665.3785400390625,726.70068359375,757.2048950195312,241.8158721923828
35,29,Caugmented-seventh,C,57.0,477.1256408691406,126.3805923461914,142.29666137695312,260.38818359375,1065.9630126953125,402.995849609375,113.28094482421875,145.52069091796875,396.50927734375,259.5792236328125,862.6726684570312,260.99224853515625
36,30,Fmin7,F,58.0,589.0294799804688,167.94754028320312,230.98008728027344,794.5197143554688,503.9817199707031,538.7708129882812,149.36891174316406,361.0538330078125,527.2667846679688,158.37586975097656,65.13753509521484,159.1393280029297
