,Measure,nighttrain,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bb7,Bb,0.0,243.52622985839844,457.6193542480469,2089.965087890625,516.981689453125,719.7826538085938,3021.787841796875,774.3618774414062,334.2331848144531,1494.8087158203125,1295.6534423828125,4597.43505859375,714.244873046875
1,2,Bb7,Bb,2.0,260.6330261230469,722.7822875976562,3357.277099609375,677.4147338867188,650.9622192382812,2908.519775390625,801.433349609375,297.5882873535156,1450.98486328125,1092.224853515625,2021.0794677734375,364.0328063964844
2,3,Bb7,Bb,4.0,225.5856170654297,446.7855529785156,2133.8701171875,501.5778503417969,626.8134155273438,2920.717529296875,769.6282348632812,284.40423583984375,1419.8798828125,917.303466796875,1962.7801513671875,352.9296569824219
3,4,Bb7,Bb,6.0,519.6895751953125,599.9114379882812,2803.028076171875,619.6412963867188,687.6304321289062,2955.9697265625,821.4547729492188,410.8167724609375,1476.0999755859375,1274.7757568359375,3257.2607421875,553.6975708007812
4,5,Bb7,Bb,8.0,1478.1356201171875,594.9541015625,1972.1248779296875,484.0814208984375,634.4127807617188,2920.055419921875,770.4497680664062,309.9289245605469,1415.455078125,895.8583984375,1956.0838623046875,548.3394165039062
5,6,Eb7,Eb,10.0,518.6775512695312,3030.552001953125,1174.769775390625,3118.721435546875,644.8287963867188,306.2482604980469,294.882568359375,1548.7498779296875,571.6793823242188,408.9266052246094,1922.5352783203125,445.9772644042969
6,7,Eb7,Eb,12.0,349.392333984375,1842.1343994140625,990.908203125,3037.381103515625,610.7688598632812,236.70643615722656,285.5288391113281,1552.1669921875,362.83447265625,356.9128112792969,1922.92529296875,437.9334716796875
7,8,Bb7,Bb,14.0,515.6544799804688,617.6565551757812,2891.218017578125,712.9035034179688,748.22119140625,3007.642578125,807.3207397460938,423.2194519042969,1459.6077880859375,1227.3248291015625,3073.103271484375,532.3114624023438
8,9,Bb7,Bb,16.0,1536.1278076171875,1147.7813720703125,2060.4384765625,509.6448669433594,624.5419311523438,2923.889892578125,776.6892700195312,324.43438720703125,1425.7254638671875,891.6305541992188,1941.48291015625,544.2322387695312
9,10,G7,G,18.0,522.8248901367188,822.8513793945312,1153.600341796875,633.974853515625,835.8961791992188,3902.158447265625,1390.99365234375,1670.2813720703125,528.569580078125,334.51678466796875,431.9123229980469,1933.86474609375
10,11,F7,F,20.0,2103.31005859375,544.9202270507812,699.5076293945312,3330.215087890625,1666.55859375,1596.2886962890625,335.29302978515625,384.7323303222656,529.1149291992188,1681.8385009765625,432.7586975097656,542.2273559570312
11,12,Bb7,Bb,22.0,600.44287109375,612.9796752929688,2931.2080078125,741.282958984375,793.2401733398438,3201.875,826.953857421875,410.081787109375,1457.4267578125,1286.6695556640625,3295.964111328125,589.2322387695312
12,13,Bb7,Bb,24.0,1309.8995361328125,1119.1392822265625,2064.19677734375,509.3145446777344,625.7666625976562,2904.1416015625,774.8463745117188,320.708984375,1421.7896728515625,893.8091430664062,1957.8096923828125,522.5494384765625
13,14,Bb7,Bb,26.0,268.8215637207031,509.369384765625,2011.2559814453125,481.0977783203125,698.5403442382812,3408.2177734375,873.7041625976562,296.32574462890625,1448.3736572265625,1544.0679931640625,6496.76416015625,1061.9693603515625
14,15,Bb7,Bb,28.0,263.2438049316406,503.0597839355469,2013.6064453125,481.1454162597656,681.4197387695312,3381.148193359375,873.5005493164062,304.2787170410156,1450.744140625,1583.6417236328125,6733.68896484375,1093.010498046875
15,16,Bb7,Bb,30.0,251.00538635253906,441.6354675292969,2002.3768310546875,471.8335876464844,681.6433715820312,3361.697998046875,868.547119140625,302.1023864746094,1426.3773193359375,1574.3297119140625,6713.044921875,1088.9427490234375
16,17,Bb7,Bb,32.0,239.8382568359375,449.5278625488281,2043.72119140625,513.2079467773438,693.7127075195312,2940.0654296875,780.3017578125,344.6981201171875,1518.4385986328125,1294.6605224609375,4564.43310546875,702.9483032226562
17,18,Eb7,Eb,34.0,384.2713623046875,1984.8089599609375,1089.8272705078125,3102.528564453125,665.9489135742188,595.406494140625,364.8706970214844,1510.48291015625,415.4529113769531,1000.8394165039062,6061.361328125,1083.8009033203125
18,19,Eb7,Eb,36.0,387.2019958496094,2001.6595458984375,1069.1812744140625,3036.369873046875,644.8425903320312,541.686279296875,358.05517578125,1536.7730712890625,399.3530578613281,1041.4781494140625,6360.01806640625,1122.42041015625
19,20,Bb7,Bb,38.0,247.1345672607422,458.1764831542969,2084.146240234375,557.6280517578125,736.708984375,3419.4755859375,855.015869140625,307.9059143066406,1410.4759521484375,1579.7015380859375,6852.99169921875,1107.0653076171875
20,21,Bb7,Bb,40.0,240.43072509765625,451.9859924316406,2047.5185546875,546.605224609375,681.9656372070312,2937.94921875,781.10205078125,347.1154479980469,1525.2235107421875,1299.9539794921875,4575.3349609375,703.03759765625
21,22,Cmin7,C,42.0,1843.4322509765625,508.4099426269531,883.7152709960938,3172.687255859375,972.059326171875,583.2322387695312,364.1219787597656,1472.9061279296875,386.7833251953125,1007.969482421875,6058.134765625,1393.9256591796875
22,23,F7,F,44.0,2158.133056640625,542.4334106445312,724.3185424804688,3240.668701171875,1640.9483642578125,1596.47607421875,356.7042541503906,419.57421875,603.7973022460938,2576.27490234375,6069.25634765625,1309.0758056640625
23,24,Bb7,Bb,46.0,313.0059509277344,444.6239318847656,2074.638427734375,567.9166870117188,767.5430297851562,3583.316650390625,873.569580078125,305.15142822265625,1412.6544189453125,1585.8311767578125,6742.58203125,1111.291259765625
24,25,Bb7,Bb,48.0,244.271728515625,449.8822937011719,2048.104248046875,546.9093627929688,682.6906127929688,2916.963134765625,779.6737670898438,347.7982177734375,1524.5267333984375,1300.54150390625,4573.48046875,705.12744140625
25,26,Bb7,Bb,50.0,2168.131591796875,721.064697265625,1958.2481689453125,489.1546325683594,692.33447265625,2961.832763671875,798.7346801757812,350.0697937011719,1411.2242431640625,877.8422241210938,1977.8125,615.98779296875
26,27,Bb7,Bb,52.0,308.4055480957031,440.0435485839844,1966.6412353515625,501.6947021484375,713.8792114257812,3426.384521484375,841.9551391601562,424.0942687988281,1457.8087158203125,938.4863891601562,2042.7513427734375,387.7261047363281
27,28,Bb7,Bb,54.0,263.0784912109375,461.0606689453125,2051.45263671875,897.1510620117188,767.38427734375,3069.925537109375,809.9397583007812,346.6089782714844,1449.9442138671875,1083.8966064453125,2813.803466796875,454.3215026855469
28,29,Bb7,Bb,56.0,266.81817626953125,423.745361328125,1973.7088623046875,625.0006713867188,721.5554809570312,3193.9130859375,818.0363159179688,588.8760986328125,3582.281494140625,1232.7696533203125,2094.2958984375,386.1898498535156
29,30,Eb7,Eb,58.0,401.0604553222656,2191.47802734375,3208.05078125,3335.609375,625.9547729492188,288.1425476074219,305.1220397949219,1487.7379150390625,375.3400573730469,416.1700439453125,1925.0902099609375,449.8845520019531
30,31,Eb7,Eb,60.0,368.3236389160156,1954.58642578125,1207.9122314453125,3095.820068359375,619.48486328125,290.1394958496094,651.802734375,3814.264404296875,703.3689575195312,366.878662109375,1942.8104248046875,468.7377624511719
31,32,Bb7,Bb,62.0,246.0924530029297,472.1998291015625,2125.81689453125,594.4249877929688,718.8471069335938,3279.77734375,878.7359008789062,766.149169921875,1523.5518798828125,933.2670288085938,1976.2564697265625,368.8926086425781
32,33,Bb7,Bb,64.0,267.8632507324219,425.1009521484375,1974.0362548828125,657.141357421875,710.8081665039062,3194.1064453125,819.1326293945312,593.779296875,3590.899169921875,1230.5843505859375,2067.857666015625,384.1365966796875
33,34,F7,F,66.0,2134.223388671875,751.4739379882812,2763.84765625,3506.040771484375,1699.5947265625,1689.970703125,359.7763671875,446.4718933105469,547.9121704101562,1784.7947998046875,478.7408142089844,496.4141845703125
34,35,Eb7,Eb,68.0,417.7651672363281,1959.85888671875,1202.315673828125,3107.408447265625,645.5452880859375,335.21856689453125,645.7400512695312,3748.425537109375,693.6835327148438,366.3685302734375,1933.61279296875,488.790771484375
35,36,Bb7,Bb,70.0,266.62530517578125,477.7868957519531,2167.4453125,994.9052124023438,821.6107788085938,3100.353759765625,785.521728515625,346.0231628417969,1437.3370361328125,931.8685913085938,1972.6693115234375,367.1510009765625
36,37,Bb7,Bb,72.0,245.4728240966797,437.2108459472656,2001.7137451171875,503.5749816894531,622.2368774414062,3054.201904296875,837.2421264648438,521.0017700195312,1476.4945068359375,1299.8565673828125,5178.01416015625,859.20263671875
37,38,Bb7,Bb,74.0,253.7028350830078,787.5636596679688,4652.90380859375,904.873779296875,716.3003540039062,2893.767822265625,800.8416137695312,316.7138366699219,1499.8377685546875,915.441162109375,2010.70849609375,371.5932312011719
38,39,Bb7,Bb,76.0,43.61744689941406,80.31697082519531,264.8180847167969,92.71768188476562,107.14529418945312,360.9212951660156,126.81256103515625,58.22786331176758,252.83753967285156,178.05845642089844,256.0592956542969,75.01424407958984
39,39,Bb,Bb,76.66666666666667,9.614501953125,32.979461669921875,148.0823974609375,139.2911834716797,79.69153594970703,174.77239990234375,34.07870864868164,27.773263931274414,38.40753936767578,38.71650314331055,64.56790924072266,19.031604766845703
40,39,F7,F,77.33333333333333,8.317026138305664,11.616929054260254,19.048280715942383,11.870631217956543,38.45277786254883,202.864990234375,44.143463134765625,3.0177996158599854,12.664206504821777,21.787979125976562,8.044158935546875,2.324401378631592
41,40,Bb7,Bb,78.0,262.1689147949219,150.99559020996094,332.3266906738281,394.2144470214844,299.7930908203125,507.4850158691406,161.52346801757812,102.68521881103516,350.9150390625,424.4617614746094,305.0810241699219,148.06520080566406
42,40,Bb,Bb,78.66666666666667,81.04261779785156,48.132904052734375,154.39564514160156,249.98963928222656,137.277099609375,215.8219757080078,37.74610137939453,33.250205993652344,44.149715423583984,55.799625396728516,75.88304138183594,34.55589294433594
43,40,F7,F,79.33333333333333,27.99637794494629,15.955819129943848,21.757530212402344,45.955684661865234,59.31047058105469,223.215576171875,46.769344329833984,3.998624563217163,13.71091365814209,23.248159408569336,8.9208345413208,6.5661797523498535
44,41,Bb7,Bb,80.0,566.5501098632812,304.659423828125,733.9765625,838.9718627929688,590.9840698242188,1136.2940673828125,352.8294372558594,209.19480895996094,687.577392578125,843.512939453125,852.6853637695312,330.17474365234375
45,41,Bb,Bb,81.0,1884.45361328125,694.1609497070312,2024.9791259765625,3197.9091796875,4913.0947265625,10502.0068359375,1848.5850830078125,1169.5301513671875,1897.06591796875,1321.6610107421875,1347.018798828125,1046.1937255859375
