,Measure,psychedelic sally C,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmin7,C,0.0,823.0012817382812,351.46728515625,754.3956909179688,1550.0076904296875,547.4749145507812,370.1921081542969,512.18505859375,1970.4351806640625,481.5244140625,455.3512268066406,1996.0252685546875,688.147705078125
1,2,F7,F,2.0,2086.874755859375,634.3539428710938,2004.435546875,10459.7646484375,4542.24658203125,1900.8377685546875,386.7058410644531,496.92724609375,588.98486328125,1741.4749755859375,662.6387939453125,567.6171875
2,3,Cmin6,C,4.0,2041.9742431640625,608.787353515625,841.6975708007812,3315.232421875,1108.6717529296875,573.1060791015625,465.6502380371094,1592.0631103515625,522.7323608398438,1749.6619873046875,2162.415771484375,1517.125
3,4,F7,F,6.0,2157.990478515625,643.2276000976562,2035.8248291015625,10617.3955078125,4742.86962890625,1929.0220947265625,383.9361267089844,482.6644592285156,585.0127563476562,1752.9053955078125,627.8255615234375,593.6217651367188
4,5,Cmin7,C,8.0,1990.708984375,486.8246765136719,903.1676635742188,3316.161376953125,1178.2569580078125,617.2145385742188,425.4386291503906,1555.5977783203125,445.4398498535156,888.9814453125,4221.42431640625,1784.5113525390625
5,6,F7,F,10.0,2157.072021484375,644.4879150390625,2035.1595458984375,10616.3310546875,4739.16357421875,1928.6851806640625,382.7868957519531,481.0650329589844,582.0369873046875,1737.1209716796875,589.4320068359375,582.5291137695312
6,7,Cmin7,C,12.0,1691.58544921875,408.9377136230469,812.3921508789062,3117.3876953125,1006.9132690429688,305.6601867675781,340.8840026855469,1857.3743896484375,412.7137145996094,377.0771484375,1928.7122802734375,753.40087890625
7,8,F7,F,14.0,2034.8905029296875,455.5352478027344,680.7788696289062,3263.5185546875,1701.2750244140625,1406.8546142578125,358.9463806152344,812.2976684570312,632.3452758789062,1674.3702392578125,415.1914367675781,484.8909912109375
8,9,Cmin7,C,16.0,1715.3115234375,420.6048278808594,818.503173828125,3128.323974609375,1015.4098510742188,273.40057373046875,338.9803771972656,1861.9244384765625,411.9634704589844,375.6488342285156,1924.1312255859375,740.5640258789062
9,10,F7,F,18.0,2034.8951416015625,455.4932556152344,680.8552856445312,3263.4013671875,1701.2288818359375,1406.9112548828125,358.9139709472656,812.115966796875,633.4304809570312,1680.9656982421875,416.0732727050781,484.882080078125
10,11,Cmin7,C,20.0,1715.2628173828125,420.6135559082031,818.457763671875,3128.36328125,1015.4058227539062,273.3694152832031,338.9480285644531,1861.8887939453125,411.9781188964844,375.8049621582031,1924.3477783203125,740.4725952148438
11,12,F7,F,22.0,591.5723266601562,146.3035888671875,223.36244201660156,985.6561889648438,544.0022583007812,399.1425476074219,109.35417938232422,161.82061767578125,199.3426971435547,526.1464233398438,144.17579650878906,153.8721160888672
12,12,C,C,23.0,264.3500671386719,52.80135726928711,48.78192138671875,244.1336212158203,97.0230484008789,61.775482177734375,20.914897918701172,112.07598876953125,33.75540542602539,20.635770797729492,12.210591316223145,46.17243957519531
13,13,Cmin7,C,24.0,896.5591430664062,201.39483642578125,283.12615966796875,1094.8585205078125,888.947998046875,181.97381591796875,103.18594360351562,510.5934143066406,151.8596954345703,122.40084838867188,561.2832641601562,295.3663024902344
14,13,C,C,25.0,158.43016052246094,28.841333389282227,33.35111618041992,260.3398132324219,454.5993957519531,63.86018371582031,37.81535720825195,210.48130798339844,52.20333480834961,11.218417167663574,34.32548141479492,45.27829360961914
15,14,C,C,26.0,1695.52490234375,348.5400390625,211.86204528808594,811.7761840820312,3813.705322265625,656.9143676757812,358.1883850097656,2100.591064453125,514.8073120117188,112.54875946044922,120.14410400390625,551.2059936523438
16,15,Ab7,Ab,28.0,183.78773498535156,75.48075103759766,114.3107681274414,554.6136474609375,226.3016815185547,177.34710693359375,361.2868957519531,181.88555908203125,166.1399688720703,52.11014175415039,63.178043365478516,60.035064697265625
17,16,Ab7,Ab,30.0,1729.7371826171875,458.0527648925781,649.7905883789062,2890.797607421875,929.6472778320312,748.3748168945312,3354.279296875,1186.7620849609375,1642.3968505859375,339.3372497558594,226.6320037841797,402.3105163574219
18,17,Ab7,Ab,32.0,1848.255859375,481.28173828125,647.8060913085938,2888.6201171875,908.3108520507812,806.73095703125,3741.26171875,1226.673828125,1628.9781494140625,338.9688415527344,230.3715057373047,419.9461364746094
19,18,Ab7,Ab,34.0,1781.0869140625,467.8813171386719,642.6976928710938,2858.769775390625,962.064208984375,1225.3619384765625,3824.4677734375,1234.07470703125,1648.01220703125,388.1967468261719,231.84779357910156,404.5377502441406
20,19,Ab7,Ab,36.0,1749.77978515625,473.1796569824219,647.1776123046875,2884.362548828125,908.5549926757812,807.6557006835938,3740.413818359375,1227.5028076171875,1621.1614990234375,334.7580871582031,220.8231964111328,403.9603576660156
21,20,Ab7,Ab,38.0,1750.0968017578125,459.4719543457031,638.9191284179688,2846.061767578125,903.9401245117188,805.7694702148438,3742.484619140625,1230.3555908203125,1627.70556640625,336.3893737792969,220.762451171875,402.8738708496094
22,21,Ab7,Ab,40.0,1849.6046142578125,479.7930908203125,645.6268920898438,2891.307861328125,910.1017456054688,804.6904907226562,3744.9638671875,1227.3328857421875,1628.91455078125,337.9064636230469,220.63682556152344,419.32470703125
23,22,Ab7,Ab,42.0,1780.15087890625,467.837158203125,642.6876831054688,2858.472900390625,960.29052734375,1223.4268798828125,3826.402587890625,1237.486328125,1647.5906982421875,387.6107482910156,229.9586639404297,404.0592956542969
24,23,Cmin7,C,44.0,1715.8739013671875,417.9452209472656,844.2669067382812,3316.631103515625,1021.98291015625,237.9160919189453,384.1330871582031,1830.1229248046875,414.3545227050781,371.9579162597656,1921.953125,741.992919921875
25,24,F7,F,46.0,2033.1065673828125,453.9419250488281,686.5745239257812,3307.804931640625,1707.8177490234375,1402.3216552734375,386.0535888671875,815.5521850585938,627.8655395507812,1678.5712890625,416.6000061035156,485.9117736816406
26,25,Cmin7,C,48.0,1713.6099853515625,421.9371643066406,822.575439453125,3150.7421875,1018.1095581054688,273.37884521484375,345.1334533691406,1869.10595703125,411.2001037597656,376.3985595703125,1926.3900146484375,739.499267578125
27,26,F7,F,50.0,2034.9776611328125,455.6172180175781,681.3822631835938,3267.7802734375,1701.544921875,1406.8443603515625,358.8868713378906,811.7531127929688,631.075439453125,1680.0289306640625,415.7699279785156,484.6990051269531
28,27,Cmin7,C,52.0,1715.81640625,420.2292175292969,817.909423828125,3126.317626953125,1015.0525512695312,273.9435119628906,340.71240234375,1859.3721923828125,411.5915832519531,375.7598876953125,1923.8966064453125,740.8771362304688
