,Measure,sticksc,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Bb7,Bb,2.0,71.22637939453125,153.51284790039062,734.3271484375,143.02272033691406,454.2813415527344,2754.651611328125,525.0772094726562,75.05582427978516,304.59661865234375,2509.036376953125,16666.853515625,2392.682861328125
1,6,Eb7,Eb,10.0,41.856849670410156,126.1180648803711,177.6038055419922,705.469970703125,141.79383850097656,264.3374328613281,92.10736846923828,92.29961395263672,43.28740310668945,964.203369140625,6563.10009765625,956.6439819335938
2,8,Bb7,Bb,14.0,52.724796295166016,71.0073013305664,240.18885803222656,294.4002990722656,298.0185546875,1380.802734375,266.2442321777344,90.41799926757812,454.7010498046875,217.819091796875,99.22313690185547,21.114694595336914
3,10,Eb7,Eb,18.0,357.3372497558594,126.5649185180664,205.25132751464844,699.81640625,592.9634399414062,306.38385009765625,103.9873275756836,112.60062408447266,197.08412170410156,309.1528015136719,166.4722900390625,149.07814025878906
4,10,E7,E,18.4,192.00372314453125,59.63351821899414,83.95226287841797,290.9394836425781,184.8919219970703,75.41356658935547,44.55140686035156,40.183921813964844,47.086307525634766,96.82254791259766,53.4275016784668,87.2574462890625
5,10,E7,E,18.8,121.3592529296875,30.91477394104004,60.88832473754883,219.788818359375,95.26789093017578,67.7485580444336,16.990264892578125,9.68526840209961,11.076865196228027,14.260272026062012,7.638503551483154,27.825979232788086
6,10,F7,F,19.2,52.218074798583984,14.771578788757324,19.038537979125977,117.56476593017578,63.99421310424805,28.158437728881836,10.767528533935547,4.676197052001953,4.520018577575684,7.506140232086182,6.127464294433594,11.936284065246582
7,10,F7,F,19.6,684.697265625,196.173095703125,255.54429626464844,1101.4072265625,799.1641235351562,549.8942260742188,75.2911376953125,75.31072235107422,56.88754653930664,44.30885696411133,42.18202209472656,159.8559112548828
8,12,Eb7,Eb,22.0,363.5853576660156,129.13206481933594,210.7543487548828,703.3197631835938,592.8633422851562,307.5628356933594,102.58099365234375,112.64789581298828,197.5394744873047,307.6035461425781,165.34046936035156,149.87261962890625
9,12,E7,E,22.4,192.5723114013672,59.05284118652344,82.90430450439453,292.01507568359375,185.31861877441406,76.95075225830078,45.012699127197266,40.34103775024414,47.3895263671875,98.2761459350586,54.420291900634766,87.595703125
10,12,E7,E,22.8,121.96056365966797,30.016576766967773,57.75053024291992,217.2690887451172,95.0318832397461,66.79985046386719,16.138816833496094,9.49533748626709,10.890216827392578,14.514274597167969,7.797298431396484,28.07208251953125
11,12,F7,F,23.2,52.56585693359375,14.80579662322998,18.31839370727539,118.19303131103516,63.403987884521484,26.904539108276367,10.422659873962402,4.577647686004639,4.504170894622803,7.346634387969971,5.997310161590576,11.907404899597168
12,12,F7,F,23.6,682.9743041992188,186.83213806152344,246.5594940185547,1090.73779296875,797.041259765625,550.1443481445312,75.86890411376953,70.52867126464844,64.18470764160156,48.639617919921875,42.03204345703125,159.52932739257812
13,14,Bb7,Bb,26.0,522.0982666015625,213.7428436279297,612.5753173828125,2510.477294921875,1491.5501708984375,2849.250244140625,541.5432739257812,270.6343078613281,249.60227966308594,282.74908447265625,347.7655944824219,168.98963928222656
