,Measure,stlouisblues,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,G7,G,0.0,612.7361450195312,420.4555358886719,1451.7681884765625,726.51513671875,808.990966796875,3733.6923828125,1636.4324951171875,1745.68896484375,368.5767517089844,385.35107421875,590.1742553710938,2825.371826171875
1,2,C7,C,2.0,1828.2877197265625,385.7110290527344,348.345703125,950.6270141601562,3912.0732421875,804.6936645507812,320.05706787109375,1545.9759521484375,421.2913513183594,346.8499755859375,1739.9342041015625,857.8095703125
2,3,G7,G,4.0,513.5726318359375,361.635009765625,1147.2698974609375,653.359619140625,844.0983276367188,3737.579345703125,1516.1123046875,2853.655517578125,534.1485595703125,439.16259765625,443.0505676269531,1860.7774658203125
3,4,G7,G,6.0,491.4029541015625,346.1684265136719,1083.96923828125,614.7400512695312,761.4671020507812,3657.568359375,1362.3536376953125,1664.7744140625,343.8046569824219,291.8858337402344,441.5594482421875,1943.91455078125
4,5,C7,C,8.0,1870.1212158203125,395.9256896972656,437.58203125,795.0130004882812,3730.854736328125,756.1738891601562,568.5438232421875,3034.801025390625,697.5053100585938,375.7799072265625,1732.3509521484375,940.0414428710938
5,6,C7,C,10.0,1815.1922607421875,398.8415222167969,326.3639831542969,806.96484375,3901.516357421875,718.2915649414062,357.6422424316406,1837.7413330078125,472.0025329589844,369.8424377441406,1714.3826904296875,810.0451049804688
6,7,G7,G,12.0,520.6940307617188,369.3165283203125,1257.451416015625,704.42138671875,853.476806640625,3701.051513671875,1694.5660400390625,4456.6005859375,913.2904663085938,953.3189086914062,515.3851318359375,1906.9635009765625
7,8,G7,G,14.0,491.393310546875,346.0074768066406,1082.5142822265625,614.5255126953125,761.5336303710938,3657.538818359375,1361.0927734375,1654.9979248046875,342.5001525878906,291.7353210449219,441.4951477050781,1943.87158203125
8,9,D7,D,16.0,2080.573486328125,932.1952514648438,1970.9610595703125,418.06982421875,319.4111022949219,824.3217163085938,3831.583251953125,681.9262084960938,544.3425903320312,2898.509033203125,609.0949096679688,420.4169921875
9,10,C7,C,18.0,1592.3626708984375,362.3913879394531,357.8144226074219,809.6079711914062,3929.517822265625,732.9575805664062,400.6546936035156,1813.0355224609375,469.9435729980469,364.2834167480469,1701.390625,768.9711303710938
