Measure,1974 Blues,chord_note,Time
1,F7,F,0.0
1,G7,G,1.1666666666666667
1,D7,D,2.3333333333333335
2,F7,F,3.5
2,G7,G,4.666666666666667
2,D7,D,5.833333333333334
3,D7,D,7.0
4,D7,D,10.5
5,D7,D,14.0
6,D7,D,17.5
7,G7,G,21.0
8,G7,G,24.5
9,G7,G,28.0
10,G7,G,31.5
11,F7,F,35.0
11,Eb7,Eb,36.166666666666664
11,D7,D,37.333333333333336
12,Bb7,Bb,38.5
12,Ab7,Ab,39.666666666666664
12,G7,G,40.833333333333336
13,Gmin7,G,42.0
13,C7,C,43.166666666666664
13,F7,F,44.333333333333336
14,E7(#9),E,45.5
14,A9(#11),A,47.25
