Measure,A smooth One,chord_note,Time
1,Bmin7,B,0.0
1,Bbmaj7,Bb,1.0
2,Fmaj7,F,2.0
3,Bmin7,B,4.0
3,Bbmaj7,Bb,5.0
4,Fmaj7,F,6.0
5,Bmin7,B,8.0
5,Bbmaj7,Bb,9.0
6,Fmaj7,F,10.0
6,Fmaj7,F,11.0
7,G7,G,12.0
7,C7,C,13.0
8,Fmaj7,F,14.0
9,Bmin,B,16.0
9,Bbmaj7,Bb,17.0
10,Fmaj7,F,18.0
11,Bmin7,B,20.0
11,Bbmaj7,Bb,21.0
12,Fmaj7,F,22.0
13,Bmin6,B,24.0
13,Bb6,Bb,25.0
14,Fmaj7,F,26.0
15,G7,G,28.0
15,C7,C,29.0
16,Fmaj7,F,30.0
16,F7,F,31.0
17,Bbmaj7,Bb,32.0
18,Bmin7,B,34.0
19,Fmaj7,F,36.0
20,Cmin7,C,38.0
20,F7,F,39.0
21,Bbmaj7,Bb,40.0
22,Bdim,B,42.0
23,F6,F,44.0
23,D7(#9),D,45.0
24,G7,G,46.0
24,C7,C,47.0
25,Bmin7,B,48.0
25,Bbmaj7,Bb,49.0
26,Fmaj7,F,50.0
27,Bmin7,B,52.0
27,Bbmaj7,Bb,53.0
28,Fmaj7,F,54.0
29,Bmin7,B,56.0
29,Bbmaj7,Bb,57.0
30,Fmaj7,F,58.0
30,Fmaj7,F,59.0
31,G7,G,60.0
31,C7,C,61.0
32,Fmaj7,F,62.0
