Measure,AlongCameBetty,chord_note,Time
1,Cmin7,C,0.0
2,C#min7,C#,2.0
2,F#7,F#,3.0
3,Cmin9,C,4.0
4,C#min,C#,6.0
4,F#7,F#,7.0
5,Bmaj9,B,8.0
6,Bb7,Bb,10.0
7,Amaj7,A,12.0
8,Ab7,Ab,14.0
8,Ab7(#5),Ab,15.0
9,Abmin7,Ab,16.0
10,Amin7,A,18.0
10,D7,D,19.0
11,Abmin7,Ab,20.0
12,Amin7,A,22.0
12,D7,D,23.0
13,Gmaj7,G,24.0
14,B7,B,26.0
15,Emin7,E,28.0
16,A7,A,30.0
16,Dmin13,D,31.0
17,Dmin7,D,32.0
18,G7,G,34.0
19,Bmin7,B,36.0
19,E7,E,37.0
20,Amin7,A,38.0
21,F#min7,F#,40.0
21,B7,B,41.0
22,B7,B,42.0
23,Gmin7,G,44.0
24,C7,C,46.0
24,Bmin7,B,47.0
25,Cmin7,C,48.0
26,C#min7,C#,50.0
26,F#7,F#,51.0
27,Cmin7,C,52.0
28,C#min7,C#,54.0
28,F#7,F#,55.0
29,Dmin7(b5),D,56.0
30,G7,G,58.0
31,Cmin7,C,60.0
32,F7(#9),F,62.0
33,Bbmaj7,Bb,64.0
34,C#min7,C#,66.0
34,F#7,F#,67.0
37,Cmin7,C,72.0
38,C#min7,C#,74.0
38,F#7,F#,75.0
39,Cmin7,C,76.0
40,C#min7,C#,78.0
40,F#7,F#,79.0
41,Bmaj7,B,80.0
42,Bb7,Bb,82.0
43,Amaj7,A,84.0
44,Ab9,Ab,86.0
45,Abmin7,Ab,88.0
46,Amin7,A,90.0
46,D7,D,91.0
47,Abmin7,Ab,92.0
48,Amin7,A,94.0
48,D7,D,95.0
49,Gmaj7,G,96.0
50,B7,B,98.0
51,Emin7,E,100.0
52,A7,A,102.0
52,Dmin,D,103.0
53,F9(#11),F,104.0
54,Bbmaj13(#11),Bb,106.0
