Measure,Ballad,chord_note,Time
3,Ebmin7,Eb,4.0
3,Db,Db,5.0
4,Db,Db,6.0
4,Ab,Ab,7.0
5,Ebmin7,Eb,8.0
5,Db/Eb,Db,9.0
6,Db/Eb,Db,10.0
6,Ab/Eb,Ab,11.0
7,Ebmin7,Eb,12.0
7,Db,Db,13.0
8,B/Eb,B,14.0
8,Db7,Db,15.0
9,Gbmin7,Gb,16.0
10,Emin7,E,18.0
10,F#,F#,19.0
11,Bmin7,B,20.0
12,Gb,Gb,22.0
12,B7,B,23.0
13,Emaj7,E,24.0
14,Ab,Ab,26.0
14,Ab/Bb,Ab,27.0
15,Ebmin7,Eb,28.0
15,Db,Db,29.0
16,Fmin7,F,30.0
16,Bb7,Bb,31.0
17,Gmin7,G,32.0
18,Abmin7,Ab,34.0
18,Ab,Ab,35.0
19,Gb7,Gb,36.0
20,Ab/Bb,Ab,38.0
20,Gmin,G,38.666666666666664
20,Ab,Ab,39.333333333333336
21,Ab,Ab,40.0
21,Gmin,G,40.666666666666664
21,Ab,Ab,41.333333333333336
22,Ab,Ab,42.0
22,Gmin,G,43.0
23,Ab,Ab,44.0
24,Ebmin7,Eb,46.0
25,Db,Db,48.0
26,Eb,Eb,50.0
27,Eb7,Eb,52.0
