Measure,Bemsha Swing,chord_note,Time
1,Bbmaj7,Bb,0.0
1,G7,G,1.0
2,Gbmaj7,Gb,2.0
2,B7,B,3.0
3,Bbmaj7,Bb,4.0
3,Db7,Db,5.0
4,C7,C,6.0
4,B7,B,7.0
5,Bbmaj7,Bb,8.0
5,Gmin7,G,9.0
6,Gbmaj7,Gb,10.0
6,B7,B,11.0
7,Bbmaj7,Bb,12.0
7,Ab7,Ab,13.0
8,Gb7,Gb,14.0
8,B7,B,15.0
9,Ebmaj7,Eb,16.0
9,Cmin7,C,17.0
10,Bmaj7,B,18.0
10,E7,E,19.0
11,Ebmaj7,Eb,20.0
11,Gb7,Gb,21.0
12,F7,F,22.0
12,B7,B,23.0
13,Bbmaj7,Bb,24.0
13,Gmin7,G,25.0
14,Gbmaj7,Gb,26.0
14,B7,B,27.0
15,Bbmaj7,Bb,28.0
15,Ab7,Ab,29.0
16,Gb7,Gb,30.0
16,F7,F,31.0
17,Bbmaj7,Bb,32.0
17,Bmaj7(#11),B,33.0
