Measure,Blue Moon,Time
1,Ebmaj7,0.0
1,Cmin7,1.0
2,Fmin7,2.0
2,Bb7,3.0
3,Eb,4.0
3,Cmin7,5.0
4,Fmin7,6.0
4,Bb7,7.0
5,Eb,8.0
5,Cmin7,9.0
6,Fmin7,10.0
7,Eb,12.0
7,Ab,13.0
8,Eb,14.0
8,Bb7,15.0
9,Eb7,16.0
9,Cmin,17.0
10,Fmin7,18.0
10,Bb7,19.0
11,Eb7,20.0
11,Cmin7,21.0
12,Fmin7,22.0
12,Bb7,23.0
13,Eb7,24.0
13,Cmin7,25.0
14,Fmin7,26.0
15,Eb7,28.0
15,Fmin,29.0
16,Eb,30.0
17,Fmin7,32.0
17,Bb7,33.0
18,Eb,34.0
19,Fmin7,36.0
19,Bb7,37.0
20,Eb7,38.0
21,Abmin7,40.0
21,Db7,41.0
22,Gb,42.0
23,Bbmaj7,44.0
23,F7,45.0
24,Fmin7,46.0
24,Bb7,47.0
25,Eb7,48.0
25,Cmin7,49.0
26,Fmin7,50.0
26,Bb7,51.0
27,Ebmaj7,52.0
27,Cmin7,53.0
28,Fmin7,54.0
28,Bb7,55.0
29,Ebmaj7,56.0
29,Cmin7,57.0
30,Fmin7,58.0
31,Eb7,60.0
31,Fmin7,61.0
32,Eb,62.0
32,Bb7,63.0
33,Eb7,64.0
33,Fmin7,65.0
34,Ebmaj7,66.0
