Measure,Boogie Stop Shuffle,Time
1,Bbmin7,0.0
2,Bbmin7,2.0
3,Bbmin7,4.0
4,Bbmin7,6.0
5,Ebmin7,8.0
6,Ebmin7,10.0
7,Bbmin7,12.0
8,Bmin7,14.0
9,Fmin7,16.0
10,Ebmin7,18.0
11,Bbmin7,20.0
12,Bbmin7,22.0
13,Bbmin7,24.0
14,Bbmin7,26.0
17,Ebmin7,32.0
18,Ebmin7,34.0
19,Bbmin7,36.0
20,Bbmin7,38.0
21,Fmin7,40.0
22,Ebmin7,42.0
23,Bbmin7,44.0
24,Bbmin9,46.0
25,Bbmin7,48.0
26,Bbmin7,50.0
27,Bbmin7,52.0
28,Ebmin7,54.0
29,Ebmin7,56.0
30,Bbmin7,58.0
31,Bbmin7,60.0
32,Fmin7,62.0
33,Ebmin7,64.0
34,Bbmin7,66.0
35,Bbmin7,68.0
36,Bbmin7,70.0
37,Bbmin7,72.0
38,Ebmin7,74.0
39,Ebmin7,76.0
40,Bbmin7,78.0
41,Bbmin7,80.0
43,Fmin7,84.0
44,Ebmin7,86.0
45,Bbmin7,88.0
46,Bbmin7,90.0
49,Bbmin7,96.0
50,Bbmin7,98.0
51,Bbmin7,100.0
52,Ebmin7,102.0
53,Ebmin7,104.0
54,Bbmin7,106.0
55,Bbmin7,108.0
57,Fmin7,112.0
58,Ebmin7,114.0
59,Bbmin7,116.0
60,Bbmin7,118.0
