Measure,ChainReaction,chord_note,Time
1,Bbmin7,Bb,0.0
1,Db/Ab,Db,1.0
2,Ebmin7,Eb,2.0
2,Fmin7,F,3.0
3,Bbmin7,Bb,4.0
3,Db/Ab,Db,5.0
4,Ebmin7,Eb,6.0
4,Fmin7,F,7.0
5,Bbmin7,Bb,8.0
5,Db/Ab,Db,9.0
6,Ebmin7,Eb,10.0
6,Fmin7,F,11.0
7,Bbmin7,Bb,12.0
7,Db/Ab,Db,13.0
8,Ebmin7,Eb,14.0
8,Fmin,F,15.0
9,Bbmin7,Bb,16.0
9,Db/Ab,Db,17.0
10,Ebmin7,Eb,18.0
10,Fmin7,F,19.0
11,Bbmin7,Bb,20.0
11,Db/Ab,Db,21.0
12,Ebmin7,Eb,22.0
12,Fmin7,F,23.0
13,Ebmin7,Eb,24.0
13,Fmin7,F,25.0
14,Ebmin7,Eb,26.0
14,Fmin7,F,27.0
15,Gbmaj7,Gb,28.0
15,Fmin7,F,29.0
16,Ebmin7,Eb,30.0
16,Fmin7,F,31.0
17,Gbmaj7,Gb,32.0
17,Fmin7,F,32.666666666666664
17,Bb7,Bb,33.333333333333336
18,Ebmin7,Eb,34.0
18,Fmin7,F,35.0
19,Gbmaj7,Gb,36.0
19,Fmin7,F,37.0
20,Ebmin7,Eb,38.0
20,Fmin7,F,39.0
21,Gbmaj7,Gb,40.0
21,F7,F,41.0
22,F7sus(07),F,42.0
23,Bbmin7,Bb,44.0
23,Db/Ab,Db,45.0
24,Ebmin7,Eb,46.0
24,Fmin7,F,47.0
25,Bbmin7,Bb,48.0
25,Db/Ab,Db,49.0
26,Ebmin7,Eb,50.0
26,Fmin7,F,51.0
27,Ebmin7,Eb,52.0
27,Fmin7,F,53.0
28,Gbmaj7,Gb,54.0
28,Fmin7,F,55.0
29,Ebmin7,Eb,56.0
29,Fmin7,F,57.0
30,Gbmaj7,Gb,58.0
30,Fmin7,F,58.666666666666664
30,Bb7,Bb,59.333333333333336
31,Ebmin7,Eb,60.0
31,Fmin7,F,61.0
32,Gbmaj7,Gb,62.0
32,Fmin7,F,63.0
33,Ebmin7,Eb,64.0
33,Fmin7,F,65.0
34,Gbmaj7,Gb,66.0
34,F7,F,67.0
35,F7sus(07),F,68.0
36,Bbmin7,Bb,70.0
38,Bbmin7,Bb,74.0
