Measure,Chill,chord_note,Time
1,Ebmin7,Eb,0.0
1,Bb,Bb,1.0
2,A,A,2.0
2,Ab,Ab,3.0
3,Ebmin7,Eb,4.0
3,Bb7,Bb,5.0
4,A,A,6.0
4,Ab,Ab,7.0
5,Ebmin7,Eb,8.0
5,Bb,Bb,9.0
6,A,A,10.0
6,Ab,Ab,11.0
7,Ebmin7,Eb,12.0
7,Bb,Bb,13.0
8,A,A,14.0
8,Ab,Ab,15.0
9,Ebmin,Eb,16.0
9,Bb,Bb,17.0
10,A7(#11),A,18.0
10,Ab7,Ab,19.0
11,G7(#5),G,20.0
11,Gb7,Gb,21.0
12,F7,F,22.0
12,Emaj7,E,23.0
13,F7,F,24.0
13,Emaj7,E,25.0
14,Eb7,Eb,26.0
14,Dbmaj7,Db,27.0
15,Eb7,Eb,28.0
15,Dbmaj7,Db,29.0
16,Cmin7,C,30.0
16,Ab7,Ab,31.0
17,Gbmaj7,Gb,32.0
17,Ab7,Ab,33.0
18,Eb,Eb,34.0
18,Dbmaj7,Db,35.0
19,Eb,Eb,36.0
19,Dbmaj7,Db,37.0
20,Cmin7,C,38.0
20,Ab,Ab,39.0
21,A,A,40.0
21,Ab,Ab,41.0
22,Ebmin7,Eb,42.0
22,Bb,Bb,43.0
23,A,A,44.0
23,Ab,Ab,45.0
24,Ebmin7,Eb,46.0
24,Bb,Bb,47.0
25,A,A,48.0
25,Ab,Ab,49.0
26,Ebmin,Eb,50.0
26,Bb,Bb,51.0
27,A7,A,52.0
27,Ab7,Ab,53.0
28,G7,G,54.0
28,Ab7,Ab,55.0
29,F7,F,56.0
29,Emaj7,E,57.0
32,Ebmin7,Eb,62.0
32,Bb,Bb,63.0
33,A,A,64.0
33,Ab,Ab,65.0
34,Ebmin7,Eb,66.0
34,Bb7,Bb,67.0
35,A,A,68.0
35,Ab,Ab,69.0
