Measure,Crisis,chord_note,Time
9,C,C,16.0
13,Cmaj7,C,24.0
14,Cmaj7,C,26.0
15,Dmaj7,D,28.0
16,Dmaj7,D,30.0
17,Dbmaj,Db,32.0
18,Dbmaj,Db,34.0
19,Cmaj,C,36.0
20,Cmaj7,C,38.0
21,Bmaj7,B,40.0
22,Bmaj7,B,42.0
23,Bbmaj7,Bb,44.0
24,G,G,46.0
25,Cmin7,C,48.0
26,F7,F,50.0
27,Cmin7,C,52.0
29,Cmin7,C,56.0
30,Cmin7,C,58.0
31,Ab7,Ab,60.0
32,Dmin7,D,62.0
32,G7,G,63.0
33,C7,C,64.0
34,Bbmin7,Bb,66.0
34,Eb7,Eb,67.0
35,Amin7,A,68.0
36,D7,D,70.0
37,G7,G,72.0
38,Cmaj7,C,74.0
39,Cmaj7,C,76.0
40,Cmaj7,C,78.0
41,Dmaj7,D,80.0
42,Dmaj7,D,82.0
43,Dbmaj,Db,84.0
44,Dbmaj,Db,86.0
45,Cmaj,C,88.0
46,Cmaj7,C,90.0
47,Bmaj7,B,92.0
48,Bmaj7,B,94.0
49,Bbmaj7,Bb,96.0
50,G,G,98.0
51,Cmin7,C,100.0
52,F7,F,102.0
53,Cmin7,C,104.0
54,G7,G,106.0
55,Cmin7,C,108.0
