Measure,CrisisC#,Time
9,C1,16.0
13,C1maj7,24.0
14,C1maj7,26.0
15,D1maj7,28.0
16,D1maj7,30.0
17,Dmaj,32.0
18,Dmaj,34.0
19,C1maj,36.0
20,C1maj7,38.0
21,Cmaj7,40.0
22,Cmaj7,42.0
23,Bmaj7,44.0
24,G1,46.0
25,C1min7,48.0
26,F17,50.0
27,C1min7,52.0
29,C1min7,56.0
30,C1min7,58.0
31,A7,60.0
32,D1min7,62.0
32,G17,63.0
33,C17,64.0
34,Bmin7,66.0
34,E7,67.0
35,A1min7,68.0
36,D17,70.0
37,G17,72.0
38,C1maj7,74.0
39,C1maj7,76.0
40,C1maj7,78.0
41,D1maj7,80.0
42,D1maj7,82.0
43,Dmaj,84.0
44,Dmaj,86.0
45,C1maj,88.0
46,C1maj7,90.0
47,Cmaj7,92.0
48,Cmaj7,94.0
49,Bmaj7,96.0
50,G1,98.0
51,C1min7,100.0
52,F17,102.0
53,C1min7,104.0
54,G17,106.0
55,C1min7,108.0
