Measure,Dangerous Curves A,chord_note,Time
2,G13,G,2.0
3,C7,C,4.0
4,G13,G,6.0
5,C7,C,8.0
6,G13,G,10.0
7,C7,C,12.0
8,G13,G,14.0
9,C7,C,16.0
10,G13,G,18.0
11,C7,C,20.0
12,G13,G,22.0
13,C7,C,24.0
14,G13,G,26.0
15,C7,C,28.0
16,G13,G,30.0
21,C7,C,40.0
22,G13,G,42.0
23,C7,C,44.0
24,G13,G,46.0
26,G13,G,50.0
27,C7,C,52.0
28,G13,G,54.0
29,C7,C,56.0
30,G13,G,58.0
31,C7,C,60.0
32,G13,G,62.0
34,A9,A,66.0
34,Bb9,Bb,66.66666666666667
34,B9,B,67.33333333333333
35,C9,C,68.0
35,G13,G,69.0
36,G13,G,70.0
37,C9,C,72.0
38,A9,A,74.0
38,Bb9,Bb,74.66666666666667
38,B9,B,75.33333333333333
39,C9,C,76.0
40,G13,G,78.0
41,C9,C,80.0
41,G7,G,81.0
42,Cmin9,C,82.0
43,F13,F,84.0
44,Bmin9,B,86.0
44,E9,E,87.0
45,Bbmin9,Bb,88.0
45,Eb9,Eb,89.0
46,A9,A,90.0
47,A9,A,92.0
47,G13,G,93.0
48,C7,C,94.0
49,G13,G,96.0
50,C7,C,98.0
51,G13,G,100.0
52,C7,C,102.0
53,G13,G,104.0
58,G13,G,114.0
59,C9,C,116.0
62,G13,G,122.0
63,C7,C,124.0
64,G13,G,126.0
65,C7,C,128.0
66,G13,G,130.0
67,C7,C,132.0
68,G13,G,134.0
69,G13,G,136.0
70,C7,C,138.0
71,G13,G,140.0
72,C7,C,142.0
73,G13,G,144.0
74,C7,C,146.0
75,G13,G,148.0
76,G13,G,150.0
