Measure,DigDis,chord_note,Time
1,Bbmin7,Bb,0.0
2,Gb7,Gb,2.0
2,F7,F,3.0
3,Bbmin7,Bb,4.0
4,Bbmin7,Bb,6.0
5,Gb7,Gb,8.0
7,Bbmin7,Bb,12.0
9,Gb7,Gb,16.0
10,F7,F,18.0
11,Bbmin7,Bb,20.0
12,Cmin7,C,22.0
12,F7,F,23.0
13,Bbmin7,Bb,24.0
14,Cmin7,C,26.0
14,F7,F,27.0
15,Bbmin7,Bb,28.0
17,Gb7,Gb,32.0
19,Bbmin7,Bb,36.0
21,Cmin7,C,40.0
22,F7,F,42.0
23,Bbmin7,Bb,44.0
24,Cmin7,C,46.0
24,F7,F,47.0
25,Bbmin7,Bb,48.0
26,Cmin7,C,50.0
26,F7,F,51.0
27,Bbmin7,Bb,52.0
28,Bb7(#9),Bb,54.0
29,Gb7(#11),Gb,56.0
31,Bbmin7,Bb,60.0
33,Cmin7,C,64.0
34,F7,F,66.0
35,Bbmin7,Bb,68.0
35,Db7,Db,69.0
36,Gb7,Gb,70.0
36,F7,F,71.0
37,Gb7,Gb,72.0
37,F7,F,73.0
38,Bb7,Bb,74.0
39,B7,B,76.0
40,Bb7,Bb,78.0
41,E7,E,80.0
42,Eb7,Eb,82.0
43,B7,B,84.0
44,Bb7,Bb,86.0
45,Db7,Db,88.0
46,C7,C,90.0
46,F7,F,91.0
47,F7,F,92.0
48,Bb7,Bb,94.0
49,B7,B,96.0
50,Bb7,Bb,98.0
51,Eb7,Eb,100.0
52,Bb7,Bb,102.0
53,Bb7,Bb,104.0
54,Eb7,Eb,106.0
55,Eb7,Eb,108.0
56,Bb7,Bb,110.0
57,Dmin7,D,112.0
57,G7,G,113.0
58,Cmin7,C,114.0
59,F7,F,116.0
60,Bb7,Bb,118.0
61,Cmin7,C,120.0
61,F7,F,121.0
