Measure,Driftin',Time
1,Eb7,0.0
2,Eb7,2.0
2,G7,3.0
3,Ab7,4.0
3,G7,5.0
4,Cmin7,6.0
4,Bbmin7,7.0
5,A7,8.0
5,Ab7,9.0
6,Gmin7,10.0
7,C7,12.0
8,Fmin7,14.0
9,Bb7,16.0
10,Fmin7,18.0
10,Bb7,19.0
11,Eb7,20.0
11,A7,21.0
12,Ab7,22.0
14,Eb7,26.0
15,Dmin7,28.0
15,G7,29.0
16,Cmin7,30.0
16,Cmin(maj7),31.0
17,Cmin,32.0
17,F7,33.0
18,Fmin7,34.0
18,Bb7,35.0
19,Eb7,36.0
20,Eb7,38.0
20,G7,39.0
21,Ab7,40.0
21,G7,41.0
22,Cmin7,42.0
22,Bbmin7,43.0
23,F7,44.0
23,Db7,45.0
24,Gmin7,46.0
25,C7,48.0
26,Fmin7,50.0
26,Bb7,51.0
27,Eb7,52.0
27,Bb7,53.0
28,Eb7,54.0
28,C7,55.0
29,Fmin7,56.0
29,Bb7,57.0
30,Eb7,58.0
30,C7,59.0
31,Fmin7,60.0
31,Bb7,61.0
32,Ab7,62.0
32,Eb7,63.0
