Measure,Dumaine St,chord_note,Time
1,Ebmin,Eb,0.0
9,Ebmin,Eb,16.0
9,Ab,Ab,17.0
10,Gb,Gb,18.0
10,E,E,19.0
11,Ebmin,Eb,20.0
11,Ab,Ab,21.0
12,Gb,Gb,22.0
12,E,E,23.0
13,Ebmin,Eb,24.0
13,Ab,Ab,25.0
14,Gb,Gb,26.0
14,E,E,27.0
15,Ebmin,Eb,28.0
15,Ab,Ab,29.0
16,Gb,Gb,30.0
16,E,E,31.0
17,Ebmin7,Eb,32.0
18,Ab7,Ab,34.0
19,Ebmin7,Eb,36.0
20,Ab7,Ab,38.0
21,Ebmin7,Eb,40.0
22,Ab7,Ab,42.0
23,Ebmin7,Eb,44.0
24,Ab7,Ab,46.0
25,Ebmin,Eb,48.0
25,Ab,Ab,49.0
26,Gb,Gb,50.0
26,E,E,51.0
27,Ebmin,Eb,52.0
27,Ab,Ab,53.0
28,Gb,Gb,54.0
28,E,E,55.0
29,Ebmin,Eb,56.0
29,Ab,Ab,57.0
30,Gb,Gb,58.0
30,E,E,59.0
31,Ebmin,Eb,60.0
31,Ab,Ab,61.0
32,Gb,Gb,62.0
32,E,E,63.0
