Measure,FlyingHome,chord_note,Time
1,Ab,Ab,0.0
1,Ab7,Ab,1.0
2,Fmin7,F,2.0
2,E9,E,3.0
3,Ab,Ab,4.0
3,Db7,Db,5.0
4,Ab,Ab,6.0
4,Eb7,Eb,7.0
5,Ab,Ab,8.0
5,Ab9,Ab,9.0
6,Fmin7,F,10.0
6,E9,E,10.666666666666666
6,Ab,Ab,11.333333333333334
7,Ab,Ab,12.0
7,Ab9,Ab,13.0
8,Fmin7,F,14.0
8,E9,E,14.666666666666666
8,Ab,Ab,15.333333333333334
9,Ab,Ab,16.0
9,Ab9,Ab,17.0
10,Ab9,Ab,18.0
10,Eb6,Eb,19.0
11,Ab9,Ab,20.0
11,Ab9,Ab,21.0
13,Ab7,Ab,24.0
15,Db,Db,28.0
17,Bb7,Bb,32.0
19,Eb7,Eb,36.0
21,Ab,Ab,40.0
21,Ab7,Ab,41.0
22,Db,Db,42.0
22,Ddim,D,43.0
23,Ab,Ab,44.0
23,Fmin7,F,45.0
24,Bbmin7,Bb,46.0
24,Eb7,Eb,47.0
25,Ab,Ab,48.0
25,Ab7,Ab,49.0
26,Db,Db,50.0
26,Ddim,D,51.0
27,Ab,Ab,52.0
28,Eb7,Eb,54.0
29,Ab,Ab,56.0
29,Fmin7,F,57.0
30,Bbmin7,Bb,58.0
30,Eb7,Eb,59.0
31,Ab,Ab,60.0
31,Fmin7,F,61.0
32,Bbmin7,Bb,62.0
32,Eb7,Eb,63.0
33,Ab,Ab,64.0
33,Ab7,Ab,65.0
34,Db9,Db,66.0
34,Ddim,D,67.0
35,Ab,Ab,68.0
37,Ab,Ab,72.0
37,Fmin7,F,73.0
38,Bbmin7,Bb,74.0
38,Eb7,Eb,75.0
39,Ab,Ab,76.0
39,Fmin7,F,77.0
40,Bbmin7,Bb,78.0
40,Eb7,Eb,79.0
41,Ab,Ab,80.0
41,Ab7,Ab,81.0
42,Db9,Db,82.0
42,Ddim,D,83.0
43,Ab,Ab,84.0
45,Ab7,Ab,88.0
47,Db,Db,92.0
49,Bb7,Bb,96.0
51,Eb7,Eb,100.0
53,Ab,Ab,104.0
53,Fmin7,F,105.0
54,Bbmin7,Bb,106.0
54,Eb7,Eb,107.0
55,Ab,Ab,108.0
55,Fmin7,F,109.0
56,Bbmin7,Bb,110.0
56,Eb7,Eb,111.0
57,Ab,Ab,112.0
57,Ab7,Ab,113.0
58,Db9,Db,114.0
58,Ddim,D,115.0
59,Ab,Ab,116.0
