Measure,FullHouse,chord_note,Time
2,Fmin7,F,1.5
11,Fmin7,F,15.0
12,Bb13,Bb,16.5
13,Fmin7,F,18.0
14,Bb13,Bb,19.5
15,Fmin9,F,21.0
16,Bb7,Bb,22.5
17,Fmin7,F,24.0
18,C7(#9),C,25.5
19,Fmin7,F,27.0
20,Bb13,Bb,28.5
21,Fmin9,F,30.0
22,Bb7,Bb,31.5
23,Fmin7,F,33.0
24,Bb13,Bb,34.5
25,Fmin7,F,36.0
26,Fmin7,F,37.5
27,Fmin9,F,39.0
28,Bbmin7,Bb,40.5
29,Eb7,Eb,42.0
30,Abmaj7,Ab,43.5
31,Db7,Db,45.0
32,Gbmaj7,Gb,46.5
33,Bmaj7,B,48.0
34,Gmin7(b5),G,49.5
35,C7(b9),C,51.0
36,Fmin9,F,52.5
37,Bb13,Bb,54.0
38,Fmin7,F,55.5
39,Bb7,Bb,57.0
40,Fmin9,F,58.5
41,Bb13,Bb,60.0
42,Fmin7,F,61.5
43,C7(#9),C,63.0
44,Fmin7,F,64.5
45,Bb7,Bb,66.0
46,Fmin7,F,67.5
47,Bb7,Bb,69.0
48,Fmin9,F,70.5
49,Bb13,Bb,72.0
50,Fmin7,F,73.5
51,Fmin7,F,75.0
