Measure,Gibraltar,chord_note,Time
1,Gmin9,G,0.0
2,C13,C,2.0
3,Gmin7,G,4.0
4,C13,C,6.0
5,Gmin7,G,8.0
6,C13,C,10.0
7,Gmin7,G,12.0
8,C13,C,14.0
9,Gmin7,G,16.0
10,C13,C,18.0
11,Gmin7,G,20.0
12,C13,C,22.0
13,Gmin7,G,24.0
14,C13,C,26.0
15,Gmin7,G,28.0
16,C13,C,30.0
17,C13,C,32.0
17,Bb7,Bb,33.0
18,Ebmaj7,Eb,34.0
19,A7(#9),A,36.0
20,Abmaj7,Ab,38.0
21,D7(#9),D,40.0
22,Gmin9,G,42.0
23,C13,C,44.0
24,Gmin7,G,46.0
25,C13,C,48.0
27,Dmin/A,D,52.0
31,Fmin/C,F,60.0
35,Abmin/Eb,Ab,68.0
39,Bmin/F#,B,76.0
42,C13,C,82.0
43,Gmin7,G,84.0
44,C13,C,86.0
45,Gmin7,G,88.0
46,C13,C,90.0
47,Gmin7,G,92.0
48,C13,C,94.0
49,Gmin7,G,96.0
50,C13,C,98.0
51,C13,C,100.0
51,Bb7(#9),Bb,101.0
52,Ebmaj7,Eb,102.0
53,A7,A,104.0
54,Abmaj7,Ab,106.0
55,D7(#9),D,108.0
56,Gmin7,G,110.0
57,C13,C,112.0
58,Gmin7,G,114.0
59,C13,C,116.0
