Measure,GirlOfMyDreams,chord_note,Time
1,Bb,Bb,0.0
2,Bb7,Bb,2.0
3,Eb7,Eb,4.0
4,Ab7,Ab,6.0
5,Dbmaj,Db,8.0
6,Db,Db,10.0
7,Eb7,Eb,12.0
7,Bb7,Bb,13.0
8,Bbmaj7,Bb,14.0
9,D7,D,16.0
10,Gmin7,G,18.0
11,Emin7,E,20.0
11,D7,D,21.0
12,Ab7,Ab,22.0
13,Db7,Db,24.0
14,B7,B,26.0
15,C7,C,28.0
16,Db7,Db,30.0
17,Bb7,Bb,32.0
18,Bbmaj7,Bb,34.0
18,Bb7,Bb,35.0
20,Ebmaj7,Eb,38.0
20,Eb7,Eb,39.0
21,Ab7,Ab,40.0
22,Dbmaj7,Db,42.0
24,Dbmaj7,Db,46.0
25,B7,B,48.0
25,Bb7,Bb,49.0
26,G7,G,50.0
26,Cmin7,C,51.0
27,F7,F,52.0
28,Bbmaj7,Bb,54.0
30,D7,D,58.0
32,Gmin7,G,62.0
35,Cmin7,C,68.0
36,Dmin7,D,70.0
38,Bb7,Bb,74.0
40,Eb7,Eb,78.0
40,Ab7,Ab,79.0
42,Db7,Db,82.0
43,C7,C,84.0
43,F7,F,84.66666666666667
43,Bb7,Bb,85.33333333333333
45,Bb,Bb,88.0
46,Bb7,Bb,90.0
47,Eb7,Eb,92.0
48,Ab7,Ab,94.0
49,Dbmaj7,Db,96.0
50,Db,Db,98.0
51,Eb7,Eb,100.0
51,Bb7,Bb,101.0
53,D7,D,104.0
54,Gmin7,G,106.0
55,Emin7,E,108.0
55,D7,D,109.0
56,Ab7,Ab,110.0
57,Db7,Db,112.0
58,Bb,Bb,114.0
59,Bb7,Bb,116.0
60,Eb7,Eb,118.0
61,Ab7,Ab,120.0
62,Dbmaj7,Db,122.0
63,Db,Db,124.0
64,Eb7,Eb,126.0
64,Bb7,Bb,127.0
