Measure,Hang Up!,Time
1,Emin7,0.0
2,Emin7,2.0
18,B/C1,34.0
18,C/D,34.4
18,A7,34.8
18,Gmaj7,35.2
18,Emin7,35.6
20,Db9,38.0
20,D9,38.4
20,Eb9,38.8
20,Emin7,39.2
20,G9,39.6
22,Db9,42.0
22,D9,42.4
22,Eb9,42.8
22,Emin7,43.2
22,G9,43.6
24,Emin7,46.0
34,Emin7,66.0
38,Emin7,74.0
39,B/C1,76.0
39,C/D,76.4
39,A7,76.8
39,Gmaj7,77.2
39,Emin7,77.6
41,B/C1,80.0
41,C/D,80.4
41,A7,80.8
41,Gmaj7,81.2
41,Emin7,81.6
43,B/C1,84.0
43,C/D,84.4
43,A7,84.8
43,Gmaj7,85.2
43,Emin7,85.6
46,B/C1,90.0
46,C/D,90.4
46,A7,90.8
46,Gmaj7,91.2
46,Emin7,91.6
48,Emin7,94.0
60,G9,118.0
61,F9,120.0
62,G9,122.0
63,F9,124.0
