Measure,Harlem Nocturne,chord_note,Time
2,Gmajor-minor(09),G,2.0
4,Cmin7,C,6.0
6,Cmin(maj7),C,10.0
7,Eb7,Eb,12.0
7,A7,A,12.666666666666666
7,D7,D,13.333333333333334
8,Gmin7,G,14.0
13,F7,F,24.0
14,Bb7,Bb,26.0
14,Fmin7,F,27.0
15,Bb7,Bb,28.0
15,Fmin7,F,29.0
16,Bb7,Bb,30.0
16,Fmin7,F,31.0
17,Bb7,Bb,32.0
18,Eb7,Eb,34.0
18,Bbmin7,Bb,35.0
19,Eb7,Eb,36.0
19,Bbmin7,Bb,37.0
20,Bb,Bb,38.0
23,Gmin(maj7),G,44.0
26,Cmin7,C,50.0
28,Cmin(maj7),C,54.0
29,Eb7,Eb,56.0
29,A7,A,56.666666666666664
29,D7,D,57.333333333333336
30,Gmin7,G,58.0
31,Gmaj7sus(b5),G,60.0
