Measure,HeHadAHat,Time
1,Fmin11,0.0
1,Bbmin11,0.3333333333333333
1,Ebmin11,0.6666666666666666
1,Abmin11,1.0
1,Dbmin11,1.3333333333333333
1,Gbmin11,1.6666666666666665
2,Bmin11,2.0
2,Ebmin11,2.4
2,Abmin11,2.8
2,Dmin11,3.2
2,Gbmin11,3.6
3,Fmin11,4.0
3,Bbmin11,4.333333333333333
3,Ebmin11,4.666666666666667
3,Abmin11,5.0
3,Dbmin11,5.333333333333333
3,Gbmin11,5.666666666666666
4,Bmin11,6.0
4,Ebmin11,6.4
4,Abmin11,6.8
4,Dmin11,7.2
4,Gbmin11,7.6
5,F7(#11),8.0
6,Eb7(#11),10.0
7,Bbmin11,12.0
8,C7(#9),14.0
9,F7(#11),16.0
10,Eb7(#11),18.0
11,Dmin11,20.0
12,Dbmaj9,22.0
12,Gb13,23.0
13,F7(#11),24.0
14,Eb7(#11),26.0
15,Bbmin11,28.0
16,C7(#9),30.0
17,F7(#11),32.0
18,Eb7(#11),34.0
19,Dmin11,36.0
20,Dbmaj9,38.0
20,Gb13,39.0
21,C7(#11),40.0
21,D7(#11),41.0
22,Ab/B-1,42.0
22,Bb/C,43.0
23,F#min11,44.0
23,Abmin11,45.0
24,Emaj9,46.0
24,C7(#9),47.0
25,F7(#11),48.0
26,Eb7(#11),50.0
27,Dmin9,52.0
27,Dbmaj9,53.0
28,Gb13,54.0
29,F7(#11),56.0
30,Eb7(#11),58.0
31,Dmin9,60.0
32,Dbmaj9,62.0
32,Gb13,63.0
34,Dbmaj9,66.0
34,Gb13,67.0
36,Cmin7,70.0
36,Dbmaj7,70.5
36,Bmin7,71.0
36,Cmin7,71.5
38,Abmaj7,74.0
38,Eb/G,74.66666666666667
38,Gb13,75.33333333333333
40,Cmin7,78.0
40,Dbmaj7,78.5
40,Bmin7,79.0
40,Cmin7,79.5
41,Gmin11,80.0
41,C7(#9),81.0
44,Fmin11,86.0
44,Bbmin11,86.33333333333333
44,Ebmin11,86.66666666666667
44,Abmin11,87.0
44,Dbmin11,87.33333333333333
44,Gbmin11,87.66666666666667
45,Bmin11,88.0
45,Ebmin11,88.4
45,Abmin11,88.8
45,Dmin11,89.2
45,Gbmin11,89.6
47,Cmin7,92.0
47,Dbmaj7,92.5
47,Bmin7,93.0
47,Cmin7,93.5
48,Fsus,94.0
