Measure,HeroTown,Time
1,G,0.0
1,E,1.0
2,F,2.0
3,G5,4.0
3,E5,5.0
4,F5,6.0
5,G,8.0
5,E,9.0
6,F,10.0
7,D7,12.0
7,G,12.666666666666666
7,C,13.333333333333334
8,Dmin,14.0
8,Cdim,14.5
8,Emin,15.0
8,C,15.5
9,D7,16.0
9,G,16.666666666666668
9,C,17.333333333333332
10,F1,18.0
11,G,20.0
11,E,21.0
12,F,22.0
13,G5,24.0
13,E5,25.0
14,F5,26.0
15,G,28.0
15,E,29.0
16,F,30.0
17,D7,32.0
17,G,32.666666666666664
17,C,33.333333333333336
18,Dmin,34.0
18,Cdim,34.5
18,Emin,35.0
18,C,35.5
19,D7,36.0
19,G,36.666666666666664
19,C,37.333333333333336
20,F1,38.0
21,F1,40.0
23,D7,44.0
23,G7,44.666666666666664
23,C7,45.333333333333336
24,C7,46.0
24,Dmin,46.4
24,D1dim,46.8
24,C,47.2
24,Amin7,47.6
25,D7,48.0
25,G7,48.666666666666664
25,C7,49.333333333333336
26,C7,50.0
26,B7,50.4
26,B-17,50.8
26,A7,51.2
26,A7,51.6
