Measure,Hippies,Time
1,Emin,0.0
2,A,2.0
3,Emin,4.0
4,A,6.0
5,Emin7,8.0
6,A7,10.0
7,Emin7,12.0
8,A7,14.0
9,Emin,16.0
10,A,18.0
11,Emin,20.0
12,A,22.0
13,Emin7,24.0
14,F17,26.0
14,E7,27.0
15,A7,28.0
15,B-17,28.5
15,A7,29.0
15,G7,29.5
16,A7,30.0
16,G7,30.5
16,E7,31.0
16,D7,31.5
17,C1dim,32.0
17,Cmaj7,33.0
18,Bmin7,34.0
18,Gmin7/B-1,35.0
19,Amin7,36.0
19,A-1maj7,37.0
20,F1maj7,38.0
20,E-1maj7,39.0
21,F1min,40.0
21,E-17,40.666666666666664
21,A-1maj7,41.333333333333336
22,F1min,42.0
22,E-1min7,43.0
23,F1min7,44.0
23,E-1min7,44.666666666666664
23,A-1maj7,45.333333333333336
24,F1min7,46.0
25,Emin7,48.0
26,A,50.0
