Measure,HustlerThe,chord_note,Time
1,Dmin7,D,0.0
2,C#min7,C#,2.0
3,Cmin7,C,4.0
4,Bmin7,B,6.0
5,Dmin7,D,8.0
13,G7/G,G,24.0
14,G,G,26.0
15,G7,G,28.0
16,G,G,30.0
17,Bb,Bb,32.0
17,F,F,33.0
18,G,G,34.0
18,F,F,35.0
19,F,F,36.0
19,Amin7,A,36.666666666666664
19,Dmin7,D,37.333333333333336
20,Dmin7,D,38.0
24,Dmin7,D,46.0
25,C#min7,C#,48.0
26,Cmin7,C,50.0
27,Bmin7,B,52.0
28,Dmin7,D,54.0
29,C#min7,C#,56.0
30,Cmin7,C,58.0
31,Bmin7,B,60.0
32,Dmin7,D,62.0
36,Dmin7,D,70.0
40,G,G,78.0
44,Bb,Bb,86.0
44,F,F,87.0
45,G,G,88.0
45,F,F,89.0
46,F,F,90.0
46,Amin7,A,90.5
46,Dmin7,D,91.0
46,F,F,91.5
47,Dmin7,D,92.0
50,Emin7,E,98.0
50,Dmin7,D,98.5
50,A7,A,99.0
50,G7,G,99.5
