Measure,ImNotSoSureII,Time
1,G7,0.0
1,Ab7,0.5
1,A7,1.0
1,Bb7,1.5
2,Eb7,2.0
5,G7,8.0
5,Ab7,8.5
5,A7,9.0
5,Bb7,9.5
6,Eb7,10.0
9,G7,16.0
9,Ab7,16.5
9,A7,17.0
9,Bb7,17.5
10,Eb7,18.0
13,G7,24.0
13,Ab7,24.5
13,A7,25.0
13,Bb7,25.5
14,Eb7,26.0
17,G7,32.0
17,Ab7,32.5
17,A7,33.0
17,Bb7,33.5
18,Eb7,34.0
21,G7,40.0
21,Ab7,40.5
21,A7,41.0
21,Bb7,41.5
22,Eb7,42.0
22,Gb7,43.0
24,F7,46.0
24,Bb7,46.666666666666664
24,Eb7,47.333333333333336
26,Eb7,50.0
26,Dbmin7,51.0
27,Gb7,52.0
28,F7,54.0
28,Bb7,55.0
29,Db7(#9),56.0
31,D7(#9),60.0
33,Eb7(#9),64.0
35,E7(#9),68.0
36,G7,70.0
36,Ab7,70.5
36,A7,71.0
36,Bb7,71.5
