Measure,InAllMy,Time
1,G1min7,0.0
1,A,1.0
2,F1min7,2.0
2,C1min7,3.0
3,G17,4.0
3,A,5.0
4,E/G1,6.0
4,F1min/A,6.666666666666667
4,E,7.333333333333333
5,E/G1,8.0
5,F1min,8.666666666666666
5,E,9.333333333333334
6,E,10.0
7,D/E,12.0
7,A,13.0
8,E,14.0
9,D/E,16.0
9,A,17.0
10,G1min7,18.0
10,A,19.0
11,F1min7,20.0
11,C1min7,21.0
12,G17,22.0
12,A,23.0
13,E/G1,24.0
13,F1min,24.666666666666668
13,E,25.333333333333332
14,Amaj7,26.0
14,E,26.5
14,E/F1,27.0
14,E/G1,27.5
15,D,28.0
15,E/F1,28.5
15,E7,29.0
15,Amaj7,29.5
16,A6,30.0
16,E/G1,30.5
16,E/F1,31.0
16,G17,31.5
17,D/E,32.0
17,E/F1,32.5
17,E7,33.0
17,Amaj7,33.5
18,A6,34.0
18,E/G1,34.5
18,E/F1,35.0
18,D/E,35.5
19,G17,36.0
19,C1min7,37.0
20,F1min7,38.0
20,E,38.666666666666664
20,E/A,39.333333333333336
21,D,40.0
22,E/G1,42.0
22,E/B,42.666666666666664
22,E,43.333333333333336
23,E,44.0
24,D/E,46.0
24,A,47.0
25,E,48.0
26,D/E,50.0
26,A,51.0
27,G1min7,52.0
27,A,53.0
28,F1min7,54.0
28,C1min7,55.0
29,G17,56.0
29,A,57.0
30,E/G1,58.0
30,F1min/A,58.5
30,E/B,59.0
30,E,59.5
