Measure,ItAintNec(Green),chord_note,Time
1,Ebmin7,Eb,0.0
1,Db,Db,1.0
2,B,B,2.0
2,Bb7,Bb,3.0
3,Ebmin7,Eb,4.0
3,Db,Db,5.0
4,B,B,6.0
4,Bb7,Bb,7.0
5,Ebmin7,Eb,8.0
5,Db,Db,9.0
6,B,B,10.0
6,Bb7,Bb,11.0
7,Ebmin,Eb,12.0
7,Db,Db,13.0
8,B,B,14.0
8,Gb7,Gb,14.666666666666666
8,A7,A,15.333333333333334
9,Amin7,A,16.0
9,Db7,Db,17.0
10,Gbmin7,Gb,18.0
10,B7,B,19.0
11,Ab/Bb,Ab,20.0
11,Bb7,Bb,21.0
12,Ab7(#11),Ab,22.0
13,Ebmin7,Eb,24.0
13,Db,Db,25.0
14,B,B,26.0
14,Bb7,Bb,27.0
15,Ebmin,Eb,28.0
15,Db,Db,29.0
16,B,B,30.0
16,Bb,Bb,30.666666666666668
16,A7,A,31.333333333333332
17,Abmin7,Ab,32.0
17,Db7,Db,33.0
18,Gbmin,Gb,34.0
18,B7,B,35.0
19,Ab/Bb,Ab,36.0
19,Bb7(#9),Bb,37.0
20,Ab7(#11),Ab,38.0
