Measure,ItAintNec(Sting),Time
0,Bb,-2.0
1,Fmin7,0.0
1,Bb,1.0
2,Fmin7,2.0
2,Bb,3.0
3,Fmin7,4.0
3,Bb,5.0
4,Fmin7,6.0
5,Bb7,8.0
5,B7,9.0
6,Bb7,10.0
6,B7,11.0
7,G7,12.0
7,C7,13.0
8,Bbmin7,14.0
8,Bb7,15.0
9,Db7,16.0
9,C7,17.0
10,Fmin7,18.0
10,F7,19.0
11,B7,20.0
11,Gb,21.0
12,Gb,22.0
13,Gmin7,24.0
13,C7,25.0
14,Fmaj7,26.0
14,F7,27.0
15,Bb7,28.0
16,Eb,30.0
16,Ebmaj7,31.0
17,G7,32.0
17,G7,33.0
18,A7,34.0
19,Fmin7,36.0
19,Bb,37.0
20,Fmin7,38.0
20,Bb,39.0
21,Fmin7,40.0
21,Bb,41.0
22,Fmin7,42.0
23,Bb7,44.0
23,B7,45.0
24,Bb7,46.0
24,B7,47.0
25,G7,48.0
25,C7,49.0
26,Fmin7,50.0
26,Bb7,51.0
27,E7,52.0
27,Db7,53.0
28,Bbmin7,54.0
29,F,56.0
29,C,57.0
30,Bb,58.0
30,A7,59.0
31,Dmin7,60.0
31,Bbmin7,61.0
32,F7,62.0
32,C9,63.0
33,Fmaj7,64.0
