Measure,James Bond,chord_note,Time
1,Emin,E,0.0
1,Cmaj,C,1.0
2,Emin,E,2.0
2,Cmaj,C,3.0
3,Emin,E,4.0
3,Cmaj,C,5.0
4,Emin,E,6.0
4,Cmaj,C,7.0
5,Emin,E,8.0
5,Cmaj,C,9.0
6,Emin,E,10.0
6,Cmaj,C,11.0
7,Emin,E,12.0
7,Cmaj,C,13.0
8,Emin,E,14.0
8,Cmaj,C,15.0
9,Emin,E,16.0
9,Cmaj,C,17.0
10,Emin,E,18.0
10,Cmaj,C,19.0
11,Emin,E,20.0
12,Emin9,E,22.0
13,Emin,E,24.0
13,Cmaj,C,25.0
14,Emin,E,26.0
14,Cmaj,C,27.0
15,Emin,E,28.0
15,Cmaj,C,29.0
16,Emin,E,30.0
16,Cmaj,C,31.0
17,Emin,E,32.0
17,C,C,33.0
18,Emin,E,34.0
18,C,C,35.0
19,Emin,E,36.0
19,Cmaj,C,37.0
20,Emin,E,38.0
21,Emin,E,40.0
21,Cmaj,C,41.0
22,Emin,E,42.0
22,Cmaj,C,43.0
23,Emin,E,44.0
23,Cmaj,C,45.0
24,Emin,E,46.0
25,Emin7,E,48.0
25,B9,B,49.0
26,Emin7,E,50.0
26,B9,B,51.0
27,Emin7,E,52.0
27,B9,B,53.0
28,Emin7,E,54.0
28,B9,B,55.0
29,Emin,E,56.0
30,Emin,E,58.0
31,Emin,E,60.0
31,Cmaj,C,61.0
32,Emin,E,62.0
32,Cmaj,C,63.0
33,Emin,E,64.0
33,Cmaj,C,65.0
34,Emin,E,66.0
34,Cmaj,C,67.0
35,Emin,E,68.0
35,Cmaj,C,69.0
36,Emin,E,70.0
36,Cmaj,C,71.0
37,Emin,E,72.0
37,Cmaj,C,73.0
38,Emin,E,74.0
38,Cmaj,C,75.0
39,Emin,E,76.0
40,Emin9,E,78.0
41,Emin,E,80.0
41,G,G,81.0
44,Emin7,E,86.0
