Measure,Jazz Crimes,Time
1,F#7,0.0
1,A13,0.6666666666666666
1,Bb7,1.3333333333333333
2,Eb7(#9),2.0
2,D,2.6666666666666665
2,C#,3.333333333333333
3,F#13,4.0
3,B7,4.666666666666667
3,D7,5.333333333333333
4,Gmaj7,6.0
4,Bmaj7,6.666666666666667
4,A9,7.333333333333333
5,F#7,8.0
5,A13,8.666666666666666
5,Bb7,9.333333333333334
6,Eb7(#9),10.0
6,D,10.666666666666666
6,C#,11.333333333333334
7,F#13,12.0
7,B7(#9),12.666666666666666
7,D7,13.333333333333334
8,D7,14.0
8,Gmaj7,14.5
8,Bmaj7,15.0
8,A9,15.5
9,F#7,16.0
9,A13,16.666666666666668
9,Bb7,17.333333333333332
10,Eb7(#9),18.0
10,D,18.666666666666668
10,C#,19.333333333333332
11,F#13,20.0
11,B7,20.666666666666668
11,D7,21.333333333333332
12,Gmaj7,22.0
12,Bmaj7,22.666666666666668
12,A,23.333333333333332
13,Gmaj7,24.0
13,A13,25.0
14,F#,26.0
14,G#7,27.0
15,F7,28.0
15,Bb7,29.0
16,F#min7,30.0
16,B13,30.666666666666668
16,G#maj7,31.333333333333332
17,Gmaj7,32.0
17,A13,33.0
18,F#,34.0
18,G#7,35.0
19,E,36.0
19,Eb7,37.0
20,G#min7,38.0
20,C#,39.0
21,Gmaj7,40.0
21,A13,41.0
22,F#,42.0
22,G#7,43.0
23,F7,44.0
23,Bb7,45.0
24,F#min9,46.0
24,B13,46.666666666666664
24,G#maj7,47.333333333333336
25,Gmaj7,48.0
25,A13,49.0
26,F#,50.0
26,G#7,51.0
27,E7,52.0
27,Eb7,53.0
28,G#maj7,54.0
28,C#7,55.0
29,F#7,56.0
31,F#7,60.0
31,A13,60.666666666666664
31,Bb7,61.333333333333336
32,Eb7(#9),62.0
32,D,62.666666666666664
32,C#,63.333333333333336
33,F#13,64.0
33,B7,64.66666666666667
33,D7,65.33333333333333
34,Gmaj7,66.0
34,Bmaj7,66.66666666666667
34,A9,67.33333333333333
35,F#7,68.0
35,A13,68.66666666666667
35,Bb7,69.33333333333333
36,Eb7(#9),70.0
36,D,70.66666666666667
36,C#,71.33333333333333
37,F#13,72.0
37,B7,72.66666666666667
37,D7,73.33333333333333
38,Gmaj7,74.0
38,Bmaj7,74.66666666666667
38,A9,75.33333333333333
39,Emin7,76.0
39,A13,77.0
40,Ebmin7,78.0
40,G#7,79.0
41,F7,80.0
41,Bb7,81.0
42,F#min7,82.0
42,B7,83.0
43,Emin9,84.0
43,A13,85.0
44,Ebmin7,86.0
44,G#7,87.0
45,C#min7,88.0
45,F#13,89.0
46,G#min7,90.0
46,C#7,91.0
