Measure,Jean De Fleur,Time
1,G1min7,0.0
2,F1min7,2.0
3,G1min7,4.0
4,Amaj7,6.0
5,G1min7,8.0
6,F1min9,10.0
7,G1min7,12.0
8,Amaj7,14.0
8,B-113,15.0
9,B-113,16.0
10,B-113,18.0
10,A13,19.0
11,A-113,20.0
12,A-113,22.0
12,A13,23.0
13,B-113,24.0
14,B-113,26.0
14,A13,27.0
15,A-113,28.0
16,A-113,30.0
16,D13,30.666666666666668
16,D-113,31.333333333333332
17,D-113,32.0
18,D-113,34.0
18,C13,34.666666666666664
18,B13,35.333333333333336
19,B13,36.0
20,B13,38.0
20,B-113,38.666666666666664
20,A13,39.333333333333336
21,A13,40.0
22,A13,42.0
23,G1min7,44.0
24,F1min7,46.0
25,G1min7,48.0
26,Amaj7,50.0
27,G1min7,52.0
28,F1min9,54.0
29,G1min7,56.0
29,Amaj7,57.0
30,Amaj7,58.0
31,B-1min7,60.0
32,E-17,62.0
33,A-1maj7,64.0
33,D-17,65.0
34,A-1maj7,66.0
35,A-1min7,68.0
36,D-17,70.0
37,G-1maj7,72.0
37,B9,73.0
38,G-1maj7,74.0
39,F1min7,76.0
40,B7,78.0
41,Emaj7,80.0
41,C1min7,81.0
42,C1min7,82.0
43,B-1min7,84.0
44,E-17,86.0
45,A-1maj7,88.0
46,Gmin7,90.0
46,C7,91.0
47,B-113,92.0
48,B-113,94.0
48,A13,95.0
49,A-113,96.0
50,A-113,98.0
50,A13,99.0
51,B-113,100.0
52,B-113,102.0
52,A13,103.0
53,A-113,104.0
54,A-113,106.0
54,D13,106.66666666666667
54,D-113,107.33333333333333
55,D-113,108.0
56,D-113,110.0
56,C13,110.66666666666667
56,B13,111.33333333333333
57,B13,112.0
58,B13,114.0
58,B-113,114.66666666666667
58,A13,115.33333333333333
59,A13,116.0
60,A13,118.0
61,G1min7,120.0
62,F1min7,122.0
63,G1min7,124.0
64,Amaj7,126.0
65,G1min7,128.0
66,F1min9,130.0
67,G1min7,132.0
67,Amaj7,133.0
68,Amaj7,134.0
