Measure,JigAJugC#,chord_note,Time
7,Ab7,Ab,12.0
8,Db7,Db,14.0
16,Emin7,E,30.0
16,Ebmin7,Eb,30.5
16,Dmin7,D,31.0
16,Dbmin7,Db,31.5
17,Dbmin7,Db,32.0
19,Ab7,Ab,36.0
20,Db7,Db,38.0
22,Emin7,E,42.0
22,Ebmin7,Eb,42.5
22,Dmin7,D,43.0
22,Dbmin7,Db,43.5
24,Ab9,Ab,46.0
26,Gbmaj7,Gb,50.0
28,Ab9,Ab,54.0
30,Gbmaj7,Gb,58.0
32,Ab9,Ab,62.0
34,Emin7,E,66.0
34,Ebmin7,Eb,66.5
34,Dmin7,D,67.0
34,Dbmin7,Db,67.5
35,Db,Db,68.0
41,Db7,Db,80.0
45,Gb7,Gb,88.0
47,Db7,Db,92.0
49,Ebmin7,Eb,96.0
50,Ab7,Ab,98.0
51,Db7,Db,100.0
51,Bb7,Bb,101.0
52,Ebmin7,Eb,102.0
52,Ab7,Ab,103.0
