Measure,KD Motion,Time
2,E-17,2.0
3,A-17,4.0
4,D-1min7,6.0
5,B7,8.0
5,B-17,9.0
6,B-17,10.0
7,B-17,12.0
8,E-17,14.0
9,A-17,16.0
10,D-17,18.0
10,G-17,19.0
11,B-17,20.0
11,A-17,21.0
12,B-17,22.0
13,Fmin7,24.0
13,B-17,25.0
14,E-17,26.0
15,A-17,28.0
16,E-17,30.0
17,E-17,32.0
18,A-17,34.0
19,A-17,36.0
20,E-17,38.0
21,Dmin7,40.0
21,G7,41.0
22,Fmin7,42.0
23,B-17,44.0
24,E-17,46.0
25,E-17,48.0
27,E-17,52.0
28,A-17,54.0
29,D-1min7,56.0
30,B7,58.0
30,B-17,59.0
31,E-1,60.0
32,E-1,62.0
33,E-17,64.0
34,A-17,66.0
35,D-17,68.0
35,G-17,69.0
36,B-17,70.0
36,A-17,71.0
37,B-17,72.0
