Measure,LetItFlow,chord_note,Time
3,Emin7,E,4.0
3,Dmin7,D,5.0
4,Dmin7,D,6.0
6,Gmin7,G,10.0
6,Amin7,A,11.0
7,A7,A,12.0
8,Emin7,E,14.0
8,Dmin7,D,15.0
9,Dmin7,D,16.0
10,Emin7,E,18.0
10,Dmin7,D,19.0
11,Dmin7,D,20.0
12,Gmin7,G,22.0
12,Amin7,A,23.0
13,A7,A,24.0
14,Emin7,E,26.0
14,Dmin7,D,27.0
16,Emin7,E,30.0
16,Dmin7,D,31.0
18,Emin7,E,34.0
19,Dmin7,D,36.0
20,Emin7,E,38.0
20,Dmin7,D,39.0
22,Gmin9,G,42.0
23,Amin7,A,44.0
24,Bbmaj7,Bb,46.0
25,Amin7,A,48.0
26,Emin7,E,50.0
27,A9,A,52.0
28,Amin7,A,54.0
29,D9,D,56.0
30,Ebmaj7,Eb,58.0
31,Emin9,E,60.0
32,A9,A,62.0
33,Dmin9,D,64.0
34,Cdim7,C,66.0
35,Gmin9,G,68.0
35,Amin9,A,69.0
36,A7,A,70.0
37,Emin7,E,72.0
37,Dmin7,D,73.0
39,Emin7,E,76.0
39,Dmin7,D,77.0
41,Gmin9,G,80.0
41,Amin9,A,81.0
42,A7,A,82.0
43,Emin,E,84.0
43,Dmin7,D,85.0
47,Dmin7,D,92.0
51,Dmin7,D,100.0
51,Emin,E,100.5
51,F,F,101.0
51,Emin,E,101.5
52,Dmin,D,102.0
52,Emin,E,102.66666666666667
52,Dmin,D,103.33333333333333
53,Dmin,D,104.0
53,Emin,E,104.5
53,F,F,105.0
53,Emin,E,105.5
54,Dmin,D,106.0
54,Emin,E,106.66666666666667
54,Dmin,D,107.33333333333333
