Measure,Love For Sale,Time
1,E-1maj7,0.0
2,E-1maj7,2.0
3,B-1min7,4.0
4,B-1min(maj7),6.0
5,E-1maj7,8.0
6,E-1maj7,10.0
7,B-1min,12.0
8,B-1min,14.0
9,E-1maj7,16.0
10,E-1min7,18.0
10,D7,19.0
11,D-17,20.0
12,D-1min7,22.0
12,G-17,23.0
13,Cdim7,24.0
14,B7,26.0
15,B-1min7,28.0
16,B-1min7,30.0
17,E-1maj7,32.0
18,E-1maj7,34.0
19,B-1min7,36.0
20,B-1min(maj7),38.0
21,E-1maj7,40.0
22,E-1maj,42.0
23,B-1maj7,44.0
24,B-1maj7,46.0
25,E-1,48.0
26,E-1min7,50.0
26,D7,51.0
27,D-17,52.0
28,D-1min7,54.0
28,G-17,55.0
29,Cdim7,56.0
30,B-17,58.0
31,B-1min7,60.0
32,B-1min7,62.0
33,E-1min7,64.0
34,A-16,66.0
35,D-1,68.0
35,E-1min7,69.0
36,Fmin7,70.0
36,E7,71.0
37,E-1min7,72.0
38,A-17,74.0
39,D-17,76.0
40,Fmin7,78.0
40,G-1maj7,79.0
41,Fmin7,80.0
41,B-17,81.0
42,B7,82.0
42,B-17,83.0
43,E-1min7,84.0
44,E-1min7,86.0
45,Gmin7,88.0
45,C7,89.0
46,Gmin7,90.0
46,C7,91.0
47,F1min7,92.0
47,B7,93.0
48,Fmin7,94.0
48,E7,95.0
49,E-1maj7,96.0
50,E-1maj7,98.0
51,B-1min,100.0
52,B-1min,102.0
53,E-1maj,104.0
54,E-1maj7,106.0
55,B-1maj7,108.0
56,B-1maj7,110.0
57,E-1maj7,112.0
58,E-1min7,114.0
58,D7,115.0
59,D-1maj7,116.0
60,D-1min7,118.0
60,G-17,119.0
61,Cdim7,120.0
62,B7,122.0
63,B-1min7,124.0
64,B-1min7,126.0
