Measure,Mamacita,Time
2,F7,2.0
3,F7,4.0
4,F7,6.0
5,F7,8.0
6,F7,10.0
7,F7,12.0
8,F7,14.0
9,F7,16.0
10,B-19,18.0
11,B-19,20.0
12,F7,22.0
13,D7,24.0
14,Gmin7,26.0
14,C13,26.5
14,Gmin7,27.0
14,C13,27.5
15,Fmin7,28.0
15,B-113,28.5
15,Fmin7,29.0
15,B-113,29.5
16,F7,30.0
17,G-113,32.0
18,F7,34.0
22,B-17,42.0
24,F7,46.0
26,C13,50.0
27,B-113,52.0
28,F7,54.0
29,G-113,56.0
30,F7,58.0
31,F7,60.0
32,F7,62.0
33,F7,64.0
34,B-113,66.0
35,B-19,68.0
36,F7,70.0
37,F7,72.0
38,C13,74.0
39,B-113,76.0
40,F7,78.0
41,G-113,80.0
