Measure,MamboInn,chord_note,Time
1,Dmin7,D,0.0
1,G7,G,1.0
2,Cmaj7,C,2.0
2,Amin7,A,3.0
3,Dmin7,D,4.0
3,G7,G,5.0
4,Cmaj7,C,6.0
5,Dmin7,D,8.0
5,G7,G,9.0
6,Cmaj7,C,10.0
6,Amin7,A,11.0
7,Dmin7,D,12.0
7,G7,G,13.0
8,Cmaj7,C,14.0
9,Fmin7,F,16.0
10,Bbmin7,Bb,18.0
11,Ebmaj7,Eb,20.0
13,Amin7,A,24.0
14,D7,D,26.0
15,Dmin7,D,28.0
16,G7,G,30.0
17,Dmin7,D,32.0
17,G7,G,33.0
18,Cmaj7,C,34.0
18,Amin7,A,35.0
19,Dmin7,D,36.0
19,G7,G,37.0
20,Cmaj7,C,38.0
21,Dmin7,D,40.0
21,G7,G,41.0
22,Cmaj7,C,42.0
22,Amin7,A,43.0
23,Dmin7,D,44.0
23,G7,G,45.0
24,Cmaj7,C,46.0
