Measure,Mating Call,Time
1,F,0.0
5,F,8.0
11,Cmin7,20.0
11,Db9,21.0
12,Cmin7,22.0
12,Db9,23.0
13,Cmin7,24.0
13,Db9,25.0
14,Cmin9,26.0
14,Db7,27.0
15,Gmin7,28.0
16,C7,30.0
17,Fmaj7,32.0
18,Dmin7,34.0
18,G7,35.0
19,Fmaj7,36.0
20,Bmin7,38.0
21,Bbmin7,40.0
22,Eb7,42.0
23,Amaj7,44.0
24,Db9,46.0
25,Dmin7,48.0
26,G7,50.0
27,Cmaj7,52.0
28,Cmaj9,54.0
29,Abmaj,56.0
30,Db9,58.0
31,Gbmaj7,60.0
32,B7,62.0
33,Cmin7,64.0
34,F7,66.0
35,Dmin7,68.0
36,G7,70.0
38,Cmin7,74.0
38,Db9,75.0
39,Cmin7,76.0
39,Db9,77.0
40,Cmin7,78.0
40,Db9,79.0
41,Cmin9,80.0
41,Db7,81.0
42,Gmin7,82.0
43,C7,84.0
44,Fmaj7,86.0
45,Dmin,88.0
45,G,89.0
