Measure,MeanOldWorld,chord_note,Time
1,G9,G,0.0
1,G13,G,0.3333333333333333
1,G9,G,0.6666666666666666
1,F9,F,1.0
1,F13,F,1.3333333333333333
1,F9,F,1.6666666666666665
2,Eb9,Eb,2.0
2,Eb13,Eb,2.5
2,Eb9,Eb,3.0
2,D9,D,3.5
3,G9,G,4.0
3,G13,G,4.333333333333333
3,G9,G,4.666666666666667
3,F9,F,5.0
3,F13,F,5.333333333333333
3,F9,F,5.666666666666666
4,Eb9,Eb,6.0
4,Eb13,Eb,6.5
4,Eb9,Eb,7.0
4,D9,D,7.5
5,G7,G,8.0
6,C9,C,10.0
7,G7,G,12.0
7,D7,D,13.0
8,G7,G,14.0
9,C9,C,16.0
10,C9,C,18.0
11,G7,G,20.0
11,D7,D,21.0
12,G7,G,22.0
12,Bbmin7,Bb,23.0
13,Amin7,A,24.0
14,D7,D,26.0
15,G7,G,28.0
15,C9,C,29.0
16,G7,G,30.0
16,D7,D,31.0
17,G7,G,32.0
18,Ab13,Ab,34.0
18,G13,G,35.0
