Measure,MelodyForC,chord_note,Time
1,Cmaj7,C,0.0
2,Bbmaj7,Bb,2.0
3,Cmaj7,C,4.0
4,Bbmaj7,Bb,6.0
5,Cmaj7,C,8.0
5,Dmin7,D,9.0
6,Emin7,E,10.0
6,Dmin7,D,11.0
7,Cmaj7,C,12.0
8,G7,G,14.0
9,C7,C,16.0
10,Fmaj7,F,18.0
11,Ebmaj7,Eb,20.0
12,Fmaj7,F,22.0
13,Ebmaj7,Eb,24.0
14,Fmaj7,F,26.0
14,Gmin7,G,27.0
15,Amin7,A,28.0
15,Gmin7,G,29.0
16,Fmaj7,F,30.0
17,Dmin7,D,32.0
17,G7,G,33.0
18,Cmaj7,C,34.0
19,Bbmaj7,Bb,36.0
20,Cmaj7,C,38.0
21,Bbmaj7,Bb,40.0
22,Cmaj7,C,42.0
22,Dmin7,D,43.0
23,Emin7,E,44.0
23,Dmin7,D,45.0
24,Cmaj7,C,46.0
25,Dmin7,D,48.0
25,G7,G,49.0
