Measure,Midnight Blue,Time
1,Fmin7,0.0
1,Gmin7,1.0
2,A-1maj7,2.0
2,Gmin7,3.0
3,Fmin7,4.0
3,Gmin7,5.0
4,A-1maj7,6.0
4,Gmin7,7.0
5,Fmin7,8.0
5,Fmin7,9.0
6,A-1maj7,10.0
6,C7,11.0
7,Fmin7,12.0
7,Gmin7,13.0
8,A-1maj,14.0
8,C7,15.0
9,Fmin7,16.0
9,Fmin7,17.0
10,A-1maj7,18.0
10,C7,19.0
11,Fmin7,20.0
11,C7,21.0
12,Fmin7,22.0
13,Fmin7,24.0
14,C7,26.0
15,Fmin7,28.0
16,B-19,30.0
17,B-1min7,32.0
18,A-1min7,34.0
19,C7,36.0
20,Fmin7,38.0
20,C7,39.0
21,C7,40.0
22,Fmin7,42.0
22,G7,43.0
23,A-1maj7,44.0
23,Gmin7,45.0
26,Fmin7,50.0
26,G7,51.0
27,A-1maj7,52.0
27,Gmin7,53.0
28,Fmin7,54.0
28,G7,55.0
29,A-1maj7,56.0
30,Gmin7,58.0
31,C7,60.0
32,Fmin7,62.0
33,Fmin7,64.0
34,B-1min7,66.0
35,B-1min7,68.0
36,D-19,70.0
37,C7,72.0
