Measure,Moanin,Time
2,Bb/F,2.0
2,F,3.0
4,Bb/F,6.0
4,F,7.0
6,Bb/F,10.0
6,F,11.0
8,Bb/F,14.0
8,F,15.0
11,Bbmin7,20.0
11,Ab7,21.0
12,G7,22.0
12,C7,23.0
13,Bb/F,24.0
14,Fmin7,26.0
14,B9(#11),27.0
15,Bbmin7,28.0
15,Ab7,29.0
16,G7,30.0
17,C7(#9),32.0
18,Ab,34.0
19,Bb/F,36.0
19,F,37.0
21,Bb/F,40.0
21,F,41.0
23,Bb/F,44.0
23,F,45.0
25,Bb/F,48.0
25,F,49.0
27,Fmin7,52.0
27,Ab7,52.5
27,G7,53.0
27,C7,53.5
35,Bbmin7,68.0
35,Ab7,69.0
36,G7,70.0
36,C7,71.0
37,Fmin7,72.0
38,F7,74.0
38,F7,75.0
39,Bbmin7,76.0
39,Ab7,77.0
40,G7,78.0
41,Gdim,80.0
42,C7,82.0
43,Fmin7,84.0
43,Ab7,84.5
43,G7,85.0
43,C7,85.5
