Measure,Montara,chord_note,Time
1,Fmaj7,F,0.0
1,Emin11,E,1.0
2,C13,C,2.0
2,Gmaj6,G,3.0
3,Fmaj7,F,4.0
3,Emin7,E,5.0
4,C7,C,6.0
4,Gmaj7,G,7.0
5,Fmaj7,F,8.0
5,Emin11,E,9.0
6,C13,C,10.0
6,Gmaj6,G,11.0
7,Fmaj7,F,12.0
7,Emin7,E,13.0
8,C7,C,14.0
8,Gmaj7,G,15.0
9,Fmaj7,F,16.0
9,Emin11,E,17.0
10,C13,C,18.0
10,Gmaj6,G,19.0
11,Fmaj7,F,20.0
11,Emin7,E,21.0
12,C7,C,22.0
12,Gmaj7,G,23.0
13,Fmaj7,F,24.0
13,Emin11,E,25.0
14,C13,C,26.0
14,Gmaj6,G,27.0
15,Fmaj7,F,28.0
15,Emin7,E,29.0
16,C7,C,30.0
16,Gmaj7,G,31.0
17,Fmaj7,F,32.0
17,Emin11,E,33.0
18,C13,C,34.0
18,Gmaj6,G,35.0
19,Fmaj7,F,36.0
19,Emin7,E,37.0
20,C7,C,38.0
20,Gmaj7,G,39.0
21,Fmaj7,F,40.0
21,Emin11,E,41.0
