Measure,MudSauce,Time
5,Fmin7,8.0
8,Eb,14.0
8,Bb,15.0
9,Fmin7,16.0
10,Ab,18.0
10,Bb7,19.0
11,Fmin7,20.0
12,Ab,22.0
12,Bb7,23.0
13,Fmin7,24.0
14,Ab,26.0
14,Bb7,27.0
15,Fmin7,28.0
16,Ab,30.0
16,Bb7,31.0
17,D7(#9),32.0
17,G7,33.0
18,Cmin7,34.0
19,D7(#9),36.0
19,G7,37.0
20,Cmin7,38.0
21,Eb,40.0
21,Bb,41.0
22,Cmin7,42.0
22,Eb,42.666666666666664
22,F,43.333333333333336
23,Abmaj7,44.0
23,G7,45.0
24,Cmin7,46.0
24,Eb,46.666666666666664
24,F,47.333333333333336
25,Eb,48.0
25,F,49.0
26,Eb,50.0
26,F,51.0
27,Eb,52.0
27,F,53.0
28,Eb,54.0
28,F,55.0
