Measure,MyFavoriteThings(Coltrane),chord_note,Time
5,Emin7(0##),E,6.0
6,F#min7(0##),F#,7.5
7,Emin7(09),E,9.0
8,F#min7(0##),F#,10.5
9,Emin7(0##),E,12.0
10,F#min7(0##),F#,13.5
11,Emin7(0##),E,15.0
12,F#min7(0##),F#,16.5
13,Cmaj7,C,18.0
14,Amin7,A,19.5
15,Cmaj7,C,21.0
16,Amin7,A,22.5
17,Cmaj7,C,24.0
18,D13,D,25.5
19,Gmaj7,G,27.0
20,F/E,F,28.5
21,Gmaj7,G,30.0
22,Cmaj7,C,31.5
23,F#min7,F#,33.0
24,B7,B,34.5
25,Emin7,E,36.0
26,F#min7,F#,37.5
27,Emin7(09),E,39.0
28,F#min7(0##),F#,40.5
29,Emin7(09),E,42.0
30,F#min7(0##),F#,43.5
31,Emin7(09),E,45.0
32,F#min7(0##),F#,46.5
33,Emin7,E,48.0
34,F#min7,F#,49.5
35,Emin7,E,51.0
36,F#min7,F#,52.5
37,Cmaj7,C,54.0
38,Amin7,A,55.5
39,Cmaj7,C,57.0
40,Amin7,A,58.5
41,Cmaj7,C,60.0
42,D13,D,61.5
43,Gmaj7,G,63.0
44,F/Eb,F,64.5
45,Gmaj7,G,66.0
46,Cmaj7,C,67.5
47,F#min7,F#,69.0
48,B7,B,70.5
49,Emaj7,E,72.0
50,F#min7,F#,73.5
51,Emaj7,E,75.0
52,F#min7,F#,76.5
53,Emaj7,E,78.0
54,F#min7,F#,79.5
55,Emaj7,E,81.0
56,F#min7,F#,82.5
57,Emaj7,E,84.0
58,F#min7,F#,85.5
59,Emaj7,E,87.0
60,F#min7,F#,88.5
61,Emaj7,E,90.0
62,F#min7,F#,91.5
63,Emaj7,E,93.0
64,F#min7,F#,94.5
65,Emaj,E,96.0
66,F#min7,F#,97.5
67,Emaj7,E,99.0
68,F#min7,F#,100.5
69,Emaj7,E,102.0
70,F#min7,F#,103.5
71,Emaj7,E,105.0
72,F#min7,F#,106.5
73,Emin7,E,108.0
74,F#min7,F#,109.5
75,Emaj7,E,111.0
76,F#maj7,F#,112.5
77,Amaj7,A,114.0
78,Bmin7,B,115.5
79,Amaj7,A,117.0
80,Bmin7,B,118.5
81,Amin7,A,120.0
82,D7,D,121.5
83,Gmaj7,G,123.0
84,Cmaj7,C,124.5
85,Gmaj,G,126.0
86,Cmaj7,C,127.5
87,F#min7(b5),F#,129.0
88,B7(b9),B,130.5
