Measure,MyMama,chord_note,Time
3,Bb7,Bb,4.0
7,Ab7,Ab,12.0
8,Eb7,Eb,14.0
9,Bb7,Bb,16.0
9,Eb7,Eb,16.666666666666668
9,Eb9,Eb,17.333333333333332
10,Bb7,Bb,18.0
11,Bb7,Bb,20.0
11,Eb7,Eb,20.666666666666668
11,Eb9,Eb,21.333333333333332
12,Bb7,Bb,22.0
13,Abmin7,Ab,24.0
14,Bbmin7,Bb,26.0
15,Bmaj7,B,28.0
16,Bbmin7,Bb,30.0
16,Amin7,A,31.0
17,Abmin7,Ab,32.0
18,Bbmin7,Bb,34.0
19,Bmaj7,B,36.0
20,Bb7,Bb,38.0
21,Bb7,Bb,40.0
25,Ab7,Ab,48.0
26,Eb7,Eb,50.0
27,Bb7,Bb,52.0
27,Eb7,Eb,52.666666666666664
27,Eb9,Eb,53.333333333333336
28,Bb7,Bb,54.0
