Measure,OnTheSunnySideOfTheStreet,Time
1,Cmaj7,0.0
2,E7,2.0
3,F6,4.0
4,G7,6.0
4,G#dim7,7.0
5,Amin7,8.0
6,D7,10.0
7,Dmin7,12.0
7,G7,13.0
8,Cmaj7,14.0
8,G7,15.0
9,Dmin7,16.0
9,G7,16.666666666666668
9,Cmaj7,17.333333333333332
10,Bb9,18.0
10,Amin7,18.666666666666668
10,Ab7,19.333333333333332
11,Gmin7,20.0
12,C7,22.0
13,Fmaj7,24.0
14,F6,26.0
15,Amin7,28.0
16,D7,30.0
17,G7,32.0
17,Dmin7,33.0
18,G7,34.0
19,Cmaj7,36.0
20,E7,38.0
21,F6,40.0
22,G7,42.0
22,G#dim7,43.0
23,Amin7,44.0
24,D7,46.0
25,Dmin7,48.0
25,G7,49.0
26,Cmaj7,50.0
26,G7,51.0
